X,i5,dna_code,m,Method,Order.q,SC,qD,qD.LCL,qD.UCL,unique_site,landuse,location,texture
231,i5,107,31042,Rarefaction,1,0.999918641,69.1610402,67.86080463,70.46127578,16,Food_forest,Sint-Truiden,Leem
232,i5,108,31042,Rarefaction,1,0.999991376,50.9525816,50.02588529,51.87927792,20,Grassland,Amsterdam,Klei
233,i5,109,31042,Rarefaction,1,0.99954652,13.25619576,13.02297352,13.489418,12,Arable_field,Groesbeek,Leem
234,i5,187,31042,Rarefaction,1,0.999863406,110.2038531,108.4197286,111.9879776,21,Food_forest,Amsterdam,Klei
235,i5,111,31042,Rarefaction,1,0.999437552,105.4506156,104.0913428,106.8098884,3,Forest,Haarzuilens,Klei
236,i5,112,31042,Rarefaction,1,0.999683657,140.7922235,138.0704059,143.5140412,1,Food_forest,Haarzuilens,Klei
237,i5,113,31042,Rarefaction,1,0.999716161,85.00677313,83.64124603,86.37230024,16,Food_forest,Sint-Truiden,Leem
238,i5,114,31042,Rarefaction,1,0.999731119,152.4962037,150.7193354,154.273072,3,Forest,Haarzuilens,Klei
239,i5,368,31042,Rarefaction,1,0.999947439,69.9296401,68.44685947,71.41242073,10,Food_forest,Boelenslaan,Zand
240,i5,116,31042,Rarefaction,1,0.99970335,159.330142,156.9031973,161.7570866,25,Food_forest,Swalmen,Zand
241,i5,117,31042,Rarefaction,1,0.999568056,42.37339703,41.53892716,43.2078669,5,Forest,Vlaardingen,Klei
242,i5,369,31042,Rarefaction,1,0.999842975,36.54567014,36.08498311,37.00635718,24,Grassland,Swalmen,Zand
243,i5,119,31042,Rarefaction,1,0.999429341,82.69083811,81.22628394,84.15539229,3,Forest,Haarzuilens,Klei
244,i5,120,31042,Rarefaction,1,0.999857609,69.08282948,67.74958169,70.41607726,9,Grassland,Boelenslaan,Zand
245,i5,190,31042,Rarefaction,1,0.999864548,99.2371223,97.7823659,100.6918787,21,Food_forest,Amsterdam,Klei
246,i5,122,31042,Rarefaction,1,0.999793462,90.27004796,88.99149817,91.54859774,18,Grassland,Sint-Truiden,Leem
247,i5,370,31042,Rarefaction,1,0.999940395,47.68193539,46.99339017,48.3704806,22,Forest,Amsterdam,Klei
248,i5,124,31042,Rarefaction,1,0.99988197,77.21668388,76.12337006,78.3099977,18,Grassland,Sint-Truiden,Leem
249,i5,125,31042,Rarefaction,1,0.999636096,76.2777509,75.12615069,77.42935111,2,Grassland,Haarzuilens,Klei
250,i5,126,31042,Rarefaction,1,0.999799677,125.2580552,123.4129536,127.1031567,15,Food_forest,Groesbeek,Leem
251,i5,127,31042,Rarefaction,1,0.999714857,22.33051607,21.89463906,22.76639308,4,Arable_field,Haarzuilens,Klei
252,i5,128,31042,Rarefaction,1,0.999777326,92.05226104,90.48828481,93.61623727,19,Arable_field,Sint-Truiden,Leem
253,i5,129,31042,Rarefaction,1,0.999916011,88.30206708,87.005108,89.59902616,18,Grassland,Sint-Truiden,Leem
254,i5,130,31042,Rarefaction,1,0.999729109,93.11468403,91.54866064,94.68070742,2,Grassland,Haarzuilens,Klei
255,i5,131,31042,Rarefaction,1,0.999896826,132.3747283,130.3625185,134.3869381,13,Forest,Groesbeek,Leem
256,i5,132,31042,Rarefaction,1,0.999671843,69.35900773,67.88172889,70.83628656,1,Food_forest,Haarzuilens,Klei
257,i5,133,31042,Rarefaction,1,0.999650558,76.24765779,74.95594379,77.5393718,13,Forest,Groesbeek,Leem
258,i5,134,31042,Rarefaction,1,0.999797475,55.42041752,54.55592117,56.28491388,24,Grassland,Swalmen,Zand
259,i5,193,31042,Rarefaction,1,0.99999822,87.4947478,86.32880261,88.66069299,24,Grassland,Swalmen,Zand
260,i5,136,31042,Rarefaction,1,0.999820181,89.44280066,87.735311,91.15029032,7,Food_forest,Vlaardingen,Klei
261,i5,137,31042,Rarefaction,1,0.999914328,87.65981297,86.21842302,89.10120293,6,Grassland,Vlaardingen,Klei
262,i5,138,31042,Rarefaction,1,0.999877229,56.4683442,55.47063827,57.46605013,12,Arable_field,Groesbeek,Leem
263,i5,139,31042,Rarefaction,1,0.999881969,52.225465,51.4885789,52.9623511,14,Grassland,Groesbeek,Leem
264,i5,140,31042,Rarefaction,1,0.999813568,23.10718981,22.6894179,23.52496172,20,Grassland,Amsterdam,Klei
265,i5,141,31042,Rarefaction,1,0.999828731,164.9698887,161.9813178,167.9584596,3,Forest,Haarzuilens,Klei
266,i5,142,31042,Rarefaction,1,0.999613899,149.159396,147.3110667,151.0077253,16,Food_forest,Sint-Truiden,Leem
267,i5,143,31042,Rarefaction,1,0.999995995,43.17616611,42.49882607,43.85350616,22,Forest,Amsterdam,Klei
268,i5,144,31042,Rarefaction,1,0.999923077,79.53742486,78.21210684,80.86274288,23,Forest,Swalmen,Zand
269,i5,145,31042,Rarefaction,1,0.999928972,109.0476421,107.5432814,110.5520028,19,Arable_field,Sint-Truiden,Leem
270,i5,196,31042,Rarefaction,1,0.999810443,46.2049386,45.32973869,47.08013852,9,Grassland,Boelenslaan,Zand
271,i5,147,31042,Rarefaction,1,0.999716151,44.26003037,43.38772615,45.13233459,2,Grassland,Haarzuilens,Klei
272,i5,148,31042,Rarefaction,1,0.999799033,88.09593489,86.47813627,89.7137335,16,Food_forest,Sint-Truiden,Leem
273,i5,197,31042,Rarefaction,1,0.99968959,152.8993394,150.7759307,155.0227481,37,Forest,Rijswijk,Klei
274,i5,198,31042,Rarefaction,1,0.999369995,150.324342,147.9185636,152.7301205,26,Food_forest,Nevele,Zand
275,i5,199,31042,Rarefaction,1,0.999698801,158.920048,156.8381115,161.0019845,40,Food_forest,Oostwaard,Klei
276,i5,200,31042,Rarefaction,1,0.999914744,50.15797374,49.22235687,51.09359061,33,Arable_field,Houthulst,Leem
277,i5,201,31042,Rarefaction,1,0.999806083,80.99122565,79.85673722,82.12571407,33,Arable_field,Houthulst,Leem
278,i5,202,31042,Rarefaction,1,0.999598532,28.65671455,28.08325256,29.23017655,35,Food_forest,Rijswijk,Klei
279,i5,203,31042,Rarefaction,1,0.999923572,36.46455045,35.88112122,37.04797969,49,Forest,Vaassen,Zand
280,i5,204,31042,Rarefaction,1,0.999707391,92.24769636,90.90480136,93.59059137,51,Grassland,Vaassen,Zand
281,i5,205,31042,Rarefaction,1,0.999606646,116.1667245,114.3942191,117.9392298,31,Grassland,Houthulst,Leem
282,i5,206,31042,Rarefaction,1,0.99965263,163.9104289,161.3891792,166.4316786,46,Food_forest,Malden,Leem
283,i5,207,31042,Rarefaction,1,0.999660084,110.4525893,109.122642,111.7825366,48,Arable_field,Malden,Leem
284,i5,208,31042,Rarefaction,1,0.999740402,73.21648855,71.69382608,74.73915102,29,Grassland,Nevele,Zand
285,i5,209,31042,Rarefaction,1,0.999702373,111.7814459,110.1288618,113.4340299,32,Forest,Houthulst,Leem
286,i5,210,31042,Rarefaction,1,0.999661363,125.4667493,123.3226863,127.6108122,38,Grassland,Oostwaard,Klei
287,i5,211,31042,Rarefaction,1,0.99943963,36.16870154,35.4844958,36.85290727,35,Food_forest,Rijswijk,Klei
288,i5,212,31042,Rarefaction,1,0.999807461,25.33650221,24.86050138,25.81250304,35,Food_forest,Rijswijk,Klei
289,i5,213,31042,Rarefaction,1,0.999458826,132.2996651,130.74324,133.8560901,43,Forest,Etten-Leur,Zand
290,i5,214,31042,Rarefaction,1,0.999442416,96.10544798,94.72368891,97.48720705,32,Forest,Houthulst,Leem
291,i5,215,31042,Rarefaction,1,0.999652536,90.8524869,89.19210153,92.51287227,48,Arable_field,Malden,Leem
292,i5,216,31042,Rarefaction,1,0.999498578,41.51890423,40.81287727,42.22493119,28,Forest,Nevele,Zand
293,i5,217,31042,Rarefaction,1,0.999600078,121.3674978,119.4219363,123.3130593,32,Forest,Houthulst,Leem
294,i5,218,31042,Rarefaction,1,0.999587226,61.21822416,59.96132713,62.47512119,47,Forest,Malden,Leem
295,i5,219,31042,Rarefaction,1,0.999714482,124.2444726,122.2731848,126.2157604,28,Forest,Nevele,Zand
296,i5,220,31042,Rarefaction,1,0.999326422,125.0042294,123.2497716,126.7586871,50,Food_forest,Vaassen,Zand
297,i5,221,31042,Rarefaction,1,0.999588402,78.09269431,76.89015959,79.29522904,32,Forest,Houthulst,Leem
298,i5,222,31042,Rarefaction,1,0.999583019,104.0033971,102.5955262,105.411268,31,Grassland,Houthulst,Leem
299,i5,223,31042,Rarefaction,1,0.999624909,220.6701128,217.8217195,223.518506,41,Food_forest,Etten-Leur,Zand
300,i5,224,31042,Rarefaction,1,0.999862605,65.91834428,65.07098532,66.76570324,49,Forest,Vaassen,Zand
301,i5,225,31042,Rarefaction,1,0.99985129,185.0879681,182.9069927,187.2689434,28,Forest,Nevele,Zand
302,i5,226,31042,Rarefaction,1,0.999516096,111.6808257,109.8182346,113.5434167,26,Food_forest,Nevele,Zand
303,i5,227,31042,Rarefaction,1,0.999764724,48.52328724,47.56476939,49.48180508,36,Arable_field,Rijswijk,Klei
304,i5,228,31042,Rarefaction,1,0.999740853,132.7576497,130.7939403,134.7213592,40,Food_forest,Oostwaard,Klei
305,i5,229,31042,Rarefaction,1,0.999609041,118.0305471,116.202735,119.8583592,31,Grassland,Houthulst,Leem
306,i5,230,31042,Rarefaction,1,0.999825418,88.42901624,87.13857277,89.71945971,44,Arable_field,Etten-Leur,Zand
307,i5,231,31042,Rarefaction,1,0.999531143,105.757319,103.967529,107.547109,34,Grassland,Rijswijk,Klei
308,i5,232,31042,Rarefaction,1,0.999772077,86.61563964,84.53705713,88.69422215,26,Food_forest,Nevele,Zand
309,i5,233,31042,Rarefaction,1,0.999533376,61.95104695,60.87683373,63.02526018,39,Forest,Oostwaard,Klei
310,i5,234,31042,Rarefaction,1,0.999590527,94.61369568,93.25602308,95.97136828,52,Arable_field,Vaassen,Zand
