X,Assemblage,m,Method,Order.q,SC,qD,qD.LCL,qD.UCL,dna_code,unique_site,landuse,location,texture
46,i5.N46,10037,Rarefaction,0,0.999174814,86.12635076,84.23238101,88.02032052,i5.N46,9,Grassland,Boelenslaan,Zand
47,i5.N47,10037,Rarefaction,0,0.998767599,84.53602545,82.68113078,86.39092012,i5.N47,8,Food_forest,Boelenslaan,Zand
48,i5.N48,10037,Rarefaction,0,0.999036641,92.38940414,90.78156,93.99724828,i5.N48,15,Food_forest,Groesbeek,Leem
49,i5.N49,10037,Rarefaction,0,0.999057665,121.7111875,120.1873262,123.2350489,i5.N49,17,Forest,Sint-Truiden,Leem
50,i5.N50,10037,Rarefaction,0,0.999169702,83.90842797,82.72572546,85.09113049,i5.N50,19,Arable_field,Sint-Truiden,Leem
51,i5.N51,10037,Rarefaction,0,0.998875925,80.08635019,78.96840677,81.20429361,i5.N51,10,Food_forest,Boelenslaan,Zand
52,i5.N52,10037,Rarefaction,0,0.999130014,104.0964004,102.5702939,105.6225069,i5.N52,9,Grassland,Boelenslaan,Zand
53,i5.N53,10037,Rarefaction,0,0.999617467,68.80348981,67.17540408,70.43157554,i5.N53,1,Food_forest,Haarzuilens,Klei
54,i5.N54,10037,Rarefaction,0,0.999054964,89.2144478,87.49059574,90.93829985,i5.N54,19,Arable_field,Sint-Truiden,Leem
55,i5.N55,10037,Rarefaction,0,0.999815201,103.7276468,102.3814471,105.0738465,i5.N55,3,Forest,Haarzuilens,Klei
56,i5.N56,10037,Rarefaction,0,0.999199142,96.50748203,94.85822435,98.15673971,i5.N56,2,Grassland,Haarzuilens,Klei
57,i5.N57,10037,Rarefaction,0,0.999485382,101.2493276,99.57044884,102.9282064,i5.N57,13,Forest,Groesbeek,Leem
58,i5.N58,10037,Rarefaction,0,0.999789402,66.2600763,65.41531595,67.10483664,i5.N58,11,Forest,Boelenslaan,Zand
59,i5.N59,10037,Rarefaction,0,0.999399178,85.73027992,84.28737334,87.1731865,i5.N59,13,Forest,Groesbeek,Leem
60,i5.N60,10037,Rarefaction,0,0.99995602,51.97219541,50.85861229,53.08577852,i5.N60,11,Forest,Boelenslaan,Zand
61,i5.N61,10037,Rarefaction,0,0.999243496,126.9507682,125.648804,128.2527325,i5.N61,16,Food_forest,Sint-Truiden,Leem
62,i5.N62,10037,Rarefaction,0,0.999571544,79.73562358,78.18209042,81.28915675,i5.N62,23,Forest,Swalmen,Zand
63,i5.N63,10037,Rarefaction,0,0.999170316,135.0341279,133.2658919,136.8023639,i5.N63,21,Food_forest,Amsterdam,Klei
64,i5.N64,10037,Rarefaction,0,0.999289509,76.83257458,75.60742546,78.05772371,i5.N64,14,Grassland,Groesbeek,Leem
65,i5.N65,10037,Rarefaction,0,0.999296155,123.3334099,121.8979332,124.7688866,i5.N65,17,Forest,Sint-Truiden,Leem
66,i5.N66,10037,Rarefaction,0,0.999443894,131.1319017,129.7926101,132.4711933,i5.N66,7,Food_forest,Vlaardingen,Klei
67,i5.N67,10037,Rarefaction,0,0.999044294,101.2857021,99.8897014,102.6817027,i5.N67,15,Food_forest,Groesbeek,Leem
68,i5.N68,10037,Rarefaction,0,0.99881472,97.28285417,95.70242855,98.86327979,i5.N68,24,Grassland,Swalmen,Zand
69,i5.N69,10037,Rarefaction,0,0.999991166,85.9990128,84.76770562,87.23031997,i5.N69,3,Forest,Haarzuilens,Klei
70,i5.N70,10037,Rarefaction,0,0.99925617,103.7929855,101.8455398,105.7404311,i5.N70,7,Food_forest,Vlaardingen,Klei
71,i5.N71,10037,Rarefaction,0,0.999050423,118.7726312,117.4100191,120.1352433,i5.N71,1,Food_forest,Haarzuilens,Klei
