code,site,location,landuse,soiltexture,previous_lu,year_establ,
VB095,P,Sint-Truiden,Food_forest,loam,Arable_field,2011,
VB096,P,Sint-Truiden,Food_forest,loam,Arable_field,2011,
VB097,Q,Sint-Truiden,Forest,loam,NA,1866,
VB098,Q,Sint-Truiden,Forest,loam,NA,1866,
VB099,Q,Sint-Truiden,Forest,loam,NA,1866,
VB100,Q,Sint-Truiden,Forest,loam,NA,1866,
VB101,Q,Sint-Truiden,Forest,loam,NA,1866,
VB102,Q,Sint-Truiden,Forest,loam,NA,1866,
VB103,R,Sint-Truiden,Grassland,loam,NA,NA,
VB104,R,Sint-Truiden,Grassland,loam,NA,NA,
VB105,R,Sint-Truiden,Grassland,loam,NA,NA,
VB106,R,Sint-Truiden,Grassland,loam,NA,NA,
VB107,R,Sint-Truiden,Grassland,loam,NA,NA,
VB108,R,Sint-Truiden,Grassland,loam,NA,NA,
VB109,S,Sint-Truiden,Arable_field,loam,NA,NA,
VB110,S,Sint-Truiden,Arable_field,loam,NA,NA,
VB111,S,Sint-Truiden,Arable_field,loam,NA,NA,
VB112,S,Sint-Truiden,Arable_field,loam,NA,NA,
VB113,S,Sint-Truiden,Arable_field,loam,NA,NA,
VB114,S,Sint-Truiden,Arable_field,loam,NA,NA,
VB115,T,Amsterdam,Grassland,clay,NA,NA,
VB116,T,Amsterdam,Grassland,clay,NA,NA,
VB117,T,Amsterdam,Grassland,clay,NA,NA,
VB118,T,Amsterdam,Grassland,clay,NA,NA,
VB119,T,Amsterdam,Grassland,clay,NA,NA,
VB120,T,Amsterdam,Grassland,clay,NA,NA,
VB121,U,Amsterdam,Food_forest,clay,Grassland,2016,
VB122,U,Amsterdam,Food_forest,clay,Grassland,2016,
VB123,U,Amsterdam,Food_forest,clay,Grassland,2016,
VB124,U,Amsterdam,Food_forest,clay,Grassland,2016,
VB125,U,Amsterdam,Food_forest,clay,Grassland,2016,
VB126,U,Amsterdam,Food_forest,clay,Grassland,2016,
VB127,V,Amsterdam,Forest,clay,NA,NA,
VB128,V,Amsterdam,Forest,clay,NA,NA,
VB129,V,Amsterdam,Forest,clay,NA,NA,
VB130,V,Amsterdam,Forest,clay,NA,NA,
VB131,V,Amsterdam,Forest,clay,NA,NA,
VB132,V,Amsterdam,Forest,clay,NA,NA,
VB133,W,Swalmen,Forest,sand,NA,NA,
VB134,W,Swalmen,Forest,sand,NA,NA,
VB135,W,Swalmen,Forest,sand,NA,NA,
VB136,W,Swalmen,Forest,sand,NA,NA,
VB137,W,Swalmen,Forest,sand,NA,NA,
VB138,W,Swalmen,Forest,sand,NA,NA,
VB139,X,Swalmen,Grassland,sand,NA,NA,
VB140,X,Swalmen,Grassland,sand,NA,NA,
VB141,X,Swalmen,Grassland,sand,NA,NA,
VB142,X,Swalmen,Grassland,sand,NA,NA,
VB143,X,Swalmen,Grassland,sand,NA,NA,
VB144,X,Swalmen,Grassland,sand,NA,NA,
VB145,Y,Swalmen,Food_forest,sand,Arable_field,1995,
VB146,Y,Swalmen,Food_forest,sand,Arable_field,1995,
VB147,Y,Swalmen,Food_forest,sand,Arable_field,1995,
VB148,Y,Swalmen,Food_forest,sand,Arable_field,1995,
VB149,Y,Swalmen,Food_forest,sand,Arable_field,1995,
VB150,Y,Swalmen,Food_forest,sand,Arable_field,1995,
VB151,Z,Nevele,Food_forest,sand,Arable_field,2014,(nursery)
VB152,Z,Nevele,Food_forest,sand,Arable_field,2014,
VB153,Z,Nevele,Food_forest,sand,Arable_field,2014,
VB154,Z,Nevele,Food_forest,sand,Arable_field,2014,
VB155,Z,Nevele,Food_forest,sand,Arable_field,2014,
VB156,Z,Nevele,Food_forest,sand,Arable_field,2014,
VB157,AA,Nevele,Arable_field,sand,NA,NA,
VB158,AA,Nevele,Arable_field,sand,NA,NA,
VB159,AA,Nevele,Arable_field,sand,NA,NA,
VB160,AA,Nevele,Arable_field,sand,NA,NA,
VB161,AA,Nevele,Arable_field,sand,NA,NA,
VB162,AA,Nevele,Arable_field,sand,NA,NA,
VB163,AB,Nevele,Forest,sand,NA,NA,
VB164,AB,Nevele,Forest,sand,NA,NA,
VB165,AB,Nevele,Forest,sand,NA,NA,
VB166,AB,Nevele,Forest,sand,NA,NA,
VB167,AB,Nevele,Forest,sand,NA,NA,
VB168,AB,Nevele,Forest,sand,NA,NA,
VB169,AC,Nevele,Grassland,sand,NA,NA,
VB170,AC,Nevele,Grassland,sand,NA,NA,
VB171,AC,Nevele,Grassland,sand,NA,NA,
VB172,AC,Nevele,Grassland,sand,NA,NA,
VB173,AC,Nevele,Grassland,sand,NA,NA,
VB174,AC,Nevele,Grassland,sand,NA,NA,
VB175,AD,Houthulst,Food_forest,loam,Mix,2011,(0.7 ha permanent grassland
VB176,AD,Houthulst,Food_forest,loam,Mix,2011,
VB177,AD,Houthulst,Food_forest,loam,Mix,2011,
VB178,AD,Houthulst,Food_forest,loam,Mix,2011,
VB179,AD,Houthulst,Food_forest,loam,Mix,2011,
VB180,AD,Houthulst,Food_forest,loam,Mix,2011,
VB181,AE,Houthulst,Grassland,loam,NA,NA,
VB182,AE,Houthulst,Grassland,loam,NA,NA,
VB183,AE,Houthulst,Grassland,loam,NA,NA,
VB184,AE,Houthulst,Grassland,loam,NA,NA,
VB185,AE,Houthulst,Grassland,loam,NA,NA,
VB186,AE,Houthulst,Grassland,loam,NA,NA,
VB187,AF,Houthulst,Forest,loam,NA,NA,
VB188,AF,Houthulst,Forest,loam,NA,NA,
VB189,AF,Houthulst,Forest,loam,NA,NA,
VB190,AF,Houthulst,Forest,loam,NA,NA,
VB191,AF,Houthulst,Forest,loam,NA,NA,
VB192,AF,Houthulst,Forest,loam,NA,NA,
VB193,AG,Houthulst,Arable_field,loam,NA,NA,
VB194,AG,Houthulst,Arable_field,loam,NA,NA,
VB195,AG,Houthulst,Arable_field,loam,NA,NA,
VB196,AG,Houthulst,Arable_field,loam,NA,NA,
VB197,AG,Houthulst,Arable_field,loam,NA,NA,
VB198,AG,Houthulst,Arable_field,loam,NA,NA,
VB199,AH,Rijswijk,Grassland,clay,NA,NA,
VB200,AH,Rijswijk,Grassland,clay,NA,NA,
VB201,AH,Rijswijk,Grassland,clay,NA,NA,
VB202,AH,Rijswijk,Grassland,clay,NA,NA,
