code,Bacteria_total,Microbial,AMF_PLFA,Actinobacteria_total,Fungi_total,Total_PLFA,AMF_NLFA,site,location,landuse
VB045,10.97193884,5.04129093,0.714608244,1.630387716,0.656358664,17.12957996,0.307117565,H,Boelenslaan,Food_forest
VB046,8.207396811,3.499533636,0.592609705,1.133221624,0.43991779,12.55375156,0.209010934,H,Boelenslaan,Food_forest
VB047,9.881857192,4.321790435,0.754955156,1.411560074,0.486131174,15.21150339,0.223370168,H,Boelenslaan,Food_forest
VB048,9.779640306,4.152687751,0.609761746,1.500951989,0.423760152,14.75154377,0.208017279,H,Boelenslaan,Food_forest
VB049,11.17304372,5.489990047,0.879740268,2.051814463,0.847562998,18.13223425,0.496506034,I,Boelenslaan,Grassland
VB050,7.960678462,3.96467651,0.728517341,1.381532333,0.439359411,12.88519866,0.212078659,I,Boelenslaan,Grassland
VB051,9.464605401,4.829092168,0.809123308,1.39169209,0.788360899,15.64325418,0.548568465,I,Boelenslaan,Grassland
VB052,11.88637001,5.682785353,1.007553426,1.893648357,0.778438538,19.05334137,0.635030169,I,Boelenslaan,Grassland
VB053,9.679316341,4.769462453,0.814462641,1.697197828,0.577912688,15.60845051,0.257753297,I,Boelenslaan,Grassland
VB054,9.88753906,4.637202857,0.882015742,1.839400035,0.523505879,15.6511962,0.222012864,I,Boelenslaan,Grassland
VB055,9.33957044,4.016774604,0.644151945,1.220598333,0.434074886,14.20930852,0.177374478,J,Boelenslaan,Food_forest
VB056,8.013284827,3.654417164,0.381096172,1.219636065,0.715357292,12.55820954,0.09386323,J,Boelenslaan,Food_forest
VB057,7.595749589,4.705092529,0.463661141,1.037897297,1.470145082,14.02669192,0.412598612,J,Boelenslaan,Food_forest
VB058,11.47197382,4.056204341,0.723032315,2.051717058,1.098092305,17.11732123,0.33661589,J,Boelenslaan,Food_forest
VB059,10.49848403,4.584142097,0.569264196,1.939715039,0.869549463,16.26587786,0.118638462,J,Boelenslaan,Food_forest
VB060,6.341669414,2.736140142,0.37731323,0.940393368,0.355846832,9.649146001,0.12752049,J,Boelenslaan,Food_forest
VB061,8.37713555,4.061366968,0.520881637,1.420723538,0.941361452,13.67427533,0.162549925,K,Boelenslaan,Forest
VB062,8.502206442,3.727287484,0,1.722890534,0.517579835,12.53059889,0.103983106,K,Boelenslaan,Forest
VB063,9.042222817,4.014973183,0.326698085,1.757343132,0.626090061,13.79738659,0.045394466,K,Boelenslaan,Forest
VB064,6.394306039,2.606189895,0.223205497,1.288214581,0.364214683,9.429192205,0.260742768,K,Boelenslaan,Forest
VB065,10.19247122,4.448322633,0.521624855,1.908441008,1.212679737,16.11154062,0.564604044,K,Boelenslaan,Forest
VB066,7.771156118,4.21800733,0.439620751,1.607419907,0.919947127,13.12349353,0.032440373,K,Boelenslaan,Forest
VB067,16.68192552,6.169398094,1.269286018,3.057142179,1.378678431,25.12935799,1.580644067,L,Groesbeek,Arable_field
VB068,20.27941785,7.486873742,1.367657256,3.899772692,1.417894666,30.10795475,1.210062584,L,Groesbeek,Arable_field
VB069,20.26180955,7.064145856,1.332615277,3.681212035,0.812234518,29.11195356,2.246566649,L,Groesbeek,Arable_field
VB070,19.08149498,6.7329263,1.293594636,3.689861809,1.122154383,27.85611884,1.245523557,L,Groesbeek,Arable_field
VB071,18.7762147,6.439270869,1.321170651,3.47689444,0.914151618,27.07497172,1.146854398,L,Groesbeek,Arable_field
VB072,17.6423259,6.462242378,0.899358204,3.20270046,0.867148044,25.4845526,0.813883496,L,Groesbeek,Arable_field
VB073,20.07149464,6.425568341,1.041087055,3.334622798,1.099604532,28.28490291,0.254352162,M,Groesbeek,Forest
