code,site,location,landuse,soiltexture,bulkdensity,pH_KCl,C_total,N_total,NH4,NO3,P_total,P_Olsen,P_Ox,K,Mg,Ca,Na,Al,Fe
VB176,AD,Houthulst,Food_forest,loam,0.83,5.3,2.488,0.252,20.417,1.793,549,38.7,213.3,300.1,175.6,1314,15.1,<bg,<bg
VB177,AD,Houthulst,Food_forest,loam,0.96,5.2,2.305,0.245,11.749,6.579,530,46.7,224.7,364.4,209.2,1609,14.3,<bg,<bg
VB178,AD,Houthulst,Food_forest,loam,0.77,5.6,4.414,0.368,44.180,16.385,806,76.3,369.7,526.4,263.7,3060,24.9,<bg,<bg
VB179,AD,Houthulst,Food_forest,loam,0.66,6.7,3.917,0.366,24.573,24.708,1316,135.1,636.9,934.8,342.5,3382,19.8,<bg,<bg
VB180,AD,Houthulst,Food_forest,loam,0.87,5.6,3.374,0.321,18.653,14.217,699,53.1,337.3,316.8,228.1,2498,18.8,<bg,<bg
VB181,AE,Houthulst,Grassland,loam,1.39,5.0,1.149,0.132,8.103,1.169,1078,72.1,442.9,164.6,216.2,967,8.8,<bg,<bg
VB182,AE,Houthulst,Grassland,loam,1.18,5.7,1.366,0.149,3.727,2.008,843,81.4,448.9,265.7,230.4,1154,6.6,<bg,<bg
VB183,AE,Houthulst,Grassland,loam,1.13,5.3,1.625,0.174,7.893,3.292,990,95.8,528.2,355.2,232.5,1287,13.0,<bg,<bg
VB184,AE,Houthulst,Grassland,loam,1.14,5.8,1.34,0.146,7.273,1.334,905,86.6,482.5,274.2,197.1,928,11.3,<bg,<bg
VB185,AE,Houthulst,Grassland,loam,1.18,6.0,1.414,0.164,4.466,0.844,1040,97.9,602.7,297.3,238.2,1141,7.6,<bg,<bg
VB186,AE,Houthulst,Grassland,loam,1.41,5.3,1.251,0.16,5.180,0.115,773,71.2,410.8,152.3,220.4,1018,8.6,<bg,<bg
VB187,AF,Houthulst,Forest,loam,0.68,3.5,3.998,0.306,16.235,16.540,538,68.0,182.8,153.2,100.0,752,13.9,219,24.3
VB188,AF,Houthulst,Forest,loam,0.94,4.3,2.362,0.218,12.699,11.844,513,57.4,168.2,215.1,135.5,1160,20.2,<bg,<bg
VB189,AF,Houthulst,Forest,loam,1.02,4.4,2.452,0.228,10.920,2.812,385,28.6,92.5,108.3,121.1,1224,25.6,<bg,<bg
VB190,AF,Houthulst,Forest,loam,0.88,4.2,2.657,0.239,12.259,4.546,469,41.5,118.3,128.6,123.6,1068,18.8,52,<bg
VB191,AF,Houthulst,Forest,loam,0.20,3.3,4.578,0.347,25.392,18.194,598,112.9,256.9,184.4,69.9,662,16.0,246,26.1
VB192,AF,Houthulst,Forest,loam,0.99,3.7,2.425,0.244,10.685,3.867,429,34.5,97.5,112.9,72.9,559,14.6,174,10.5
VB193,AG,Houthulst,Arable_field,loam,1.53,5.8,1.158,0.132,3.961,3.137,785,83.0,470.3,222.4,210.0,1710,16.1,<bg,<bg
VB194,AG,Houthulst,Arable_field,loam,1.53,6.0,1.109,0.134,3.996,4.036,1089,75.8,447.9,210.0,237.6,1637,26.5,<bg,<bg
VB195,AG,Houthulst,Arable_field,loam,1.54,6.1,1.319,0.138,4.176,9.157,1104,103.7,639.4,346.2,221.5,2037,36.0,<bg,<bg
VB196,AG,Houthulst,Arable_field,loam,1.54,6.6,1.078,0.13,3.437,4.556,762,71.0,398.2,224.7,248.9,1586,23.9,<bg,<bg
VB197,AG,Houthulst,Arable_field,loam,1.55,5.7,1.18,0.13,2.842,4.386,758,74.4,383.5,199.3,234.9,1703,14.8,<bg,<bg
VB198,AG,Houthulst,Arable_field,loam,NA,5.9,1.152,0.133,2.678,3.702,796,81.5,417.8,214.6,223.1,1663,14.8,<bg,<bg
VB199,AH,Rijswijk,Grassland,clay,0.84,4.8,4.826,0.438,4.776,24.988,1085,20.0,228.9,120.3,792.2,5215,44.9,<bg,<bg
VB200,AH,Rijswijk,Grassland,clay,0.93,4.8,4.845,0.456,5.505,19.038,1138,26.0,299.2,156.1,795.4,5051,48.0,<bg,<bg
VB201,AH,Rijswijk,Grassland,clay,0.90,5.6,4.463,0.429,4.571,30.358,1148,25.3,324.3,112.8,717.6,5603,56.5,<bg,<bg
VB202,AH,Rijswijk,Grassland,clay,0.74,5.9,4.344,0.414,4.911,30.403,1038,19.8,254.9,108.7,613.7,6372,50.3,<bg,<bg
VB203,AH,Rijswijk,Grassland,clay,0.81,5.3,3.891,0.398,4.756,26.686,944,12.7,210.0,109.0,652.9,5199,41.2,<bg,<bg
VB204,AH,Rijswijk,Grassland,clay,0.72,4.9,4.549,0.433,5.175,23.809,1039,17.6,198.2,122.2,739.6,5161,39.3,<bg,<bg
VB205,AI,Rijswijk,Food_forest,clay,1.21,5.3,2.426,0.271,5.455,4.101,905,30.0,319.6,174.5,668.8,4714,27.3,<bg,<bg
VB206,AI,Rijswijk,Food_forest,clay,1.12,5.9,2.837,0.286,3.642,11.405,1073,45.0,396.1,196.9,537.4,5039,22.5,<bg,<bg
VB207,AI,Rijswijk,Food_forest,clay,0.96,5.5,2.933,0.301,4.436,14.437,1290,56.1,563.2,257.2,670.7,4913,24.5,<bg,<bg
VB208,AI,Rijswijk,Food_forest,clay,1.05,5.7,2.716,0.278,2.738,12.813,1084,49.4,377.4,166.2,569.4,4671,26.1,<bg,<bg
VB209,AI,Rijswijk,Food_forest,clay,1.37,6.5,2.621,0.257,4.261,16.330,1052,56.7,429.4,209.0,464.8,5191,20.4,<bg,<bg
VB210,AI,Rijswijk,Food_forest,clay,1.08,6.3,2.131,0.225,2.098,9.322,1018,34.4,342.0,176.8,603.0,5141,22.2,<bg,<bg
VB211,AJ,Rijswijk,Arable_field,clay,1.06,6.5,2.238,0.249,6.674,24.153,1507,86.2,741.0,311.8,476.2,5474,42.1,<bg,<bg
VB212,AJ,Rijswijk,Arable_field,clay,1.29,5.6,2.301,0.25,5.130,23.609,1574,86.3,786.9,331.1,465.1,5871,45.2,<bg,<bg
VB213,AJ,Rijswijk,Arable_field,clay,1.27,5.2,2.257,0.237,5.335,20.686,1508,85.4,763.9,324.1,477.6,5607,42.2,<bg,<bg
VB214,AJ,Rijswijk,Arable_field,clay,1.25,5.7,2.919,0.269,6.319,22.460,1370,87.2,755.1,347.9,423.2,5793,41.4,<bg,<bg
VB215,AJ,Rijswijk,Arable_field,clay,1.27,5.3,2.113,0.241,4.956,20.122,1411,79.7,730.4,292.3,395.5,5775,38.5,<bg,<bg
VB216,AJ,Rijswijk,Arable_field,clay,1.22,5.8,2.233,0.25,5.840,23.404,1448,82.3,799.1,302.3,415.9,5465,40.0,<bg,<bg
VB217,AK,Rijswijk,Forest,clay,1.05,6.7,3.187,0.231,5.295,1.334,644,16.9,205.7,114.0,390.7,6854,91.6,<bg,<bg
VB218,AK,Rijswijk,Forest,clay,1.14,7.0,3.665,0.261,3.792,0.055,599,11.5,152.0,83.9,349.1,6059,45.7,<bg,<bg
VB219,AK,Rijswijk,Forest,clay,1.04,5.8,3.486,0.254,5.320,0.015,597,14.0,169.0,113.8,565.2,6489,85.5,<bg,<bg
VB220,AK,Rijswijk,Forest,clay,0.93,6.3,4.003,0.261,5.765,7.503,642,15.7,155.8,122.1,307.8,6580,99.2,<bg,<bg
VB221,AK,Rijswijk,Forest,clay,0.91,6.8,4.006,0.279,3.882,2.533,592,16.1,176.5,106.1,416.2,7610,130.8,<bg,<bg
VB222,AK,Rijswijk,Forest,clay,0.95,6.8,3.594,0.267,5.995,3.772,1004,12.9,135.5,95.9,469.3,6760,66.2,<bg,<bg
VB223,AL,Oostwaard,Grassland,clay,1.11,5.5,3.34,0.339,7.923,11.385,1167,45.2,451.1,257.1,618.4,4118,24.8,<bg,<bg
VB224,AL,Oostwaard,Grassland,clay,1.05,6.8,3.626,0.339,8.028,15.126,1037,64.3,456.8,273.9,404.1,4671,12.5,<bg,<bg
VB225,AL,Oostwaard,Grassland,clay,1.11,6.9,3.229,0.301,5.565,16.850,1121,45.0,381.3,233.1,298.4,4888,11.1,<bg,<bg
VB226,AL,Oostwaard,Grassland,clay,1.36,5.2,2.651,0.258,7.154,12.719,1107,71.2,592.5,320.6,230.2,2398,7.6,<bg,<bg
VB227,AL,Oostwaard,Grassland,clay,1.06,5.6,3.168,0.286,6.644,7.833,993,39.7,356.2,212.6,427.0,4364,13.9,<bg,<bg
VB228,AL,Oostwaard,Grassland,clay,1.14,6.9,3.216,0.299,7.553,15.161,966,50.8,365.0,264.5,144.6,4408,9.3,<bg,<bg
VB229,AM,Oostwaard,Forest,clay,0.86,6.8,2.539,0.19,6.399,14.342,810,66.0,433.9,130.3,300.1,4164,22.4,<bg,<bg
VB230,AM,Oostwaard,Forest,clay,1.12,4.5,3.059,0.226,4.581,0.460,873,46.9,421.7,110.3,328.7,2431,32.5,<bg,<bg
VB231,AM,Oostwaard,Forest,clay,1.23,5.4,2.218,0.169,5.010,3.352,697,44.1,303.6,96.7,219.9,1966,24.1,<bg,<bg
VB232,AM,Oostwaard,Forest,clay,1.06,6.1,2.598,0.216,6.339,9.132,773,63.5,411.7,142.0,163.7,2595,12.4,<bg,<bg
VB233,AM,Oostwaard,Forest,clay,1.13,5.9,2.191,0.185,4.911,3.127,974,42.7,354.1,154.1,280.7,2487,21.4,<bg,<bg
VB234,AM,Oostwaard,Forest,clay,0.96,6.4,2.845,0.225,5.280,5.905,788,40.9,312.8,105.0,386.3,3293,32.3,<bg,<bg
VB235,AN,Oostwaard,Food_forest,clay,1.26,5.2,1.921,0.192,6.759,2.443,712,33.2,275.7,155.9,188.5,1199,9.1,<bg,<bg
VB236,AN,Oostwaard,Food_forest,clay,1.14,6.2,2.401,0.241,6.564,13.368,761,33.6,319.5,134.6,220.1,2754,15.3,<bg,<bg
VB237,AN,Oostwaard,Food_forest,clay,1.04,5.5,3.02,0.291,5.805,0.719,1048,30.8,386.4,153.2,583.0,5073,22.2,<bg,<bg
VB238,AN,Oostwaard,Food_forest,clay,1.10,5.3,3.456,0.319,5.450,2.318,1172,35.2,472.9,170.1,602.9,4510,25.2,<bg,<bg
VB239,AN,Oostwaard,Food_forest,clay,0.97,6.5,3.439,0.316,5.800,18.833,982,34.7,351.3,125.9,502.6,5250,12.5,<bg,<bg
VB240,AN,Oostwaard,Food_forest,clay,1.17,6.5,3.06,0.283,6.489,11.350,998,42.8,363.6,135.2,379.3,4519,12.3,<bg,<bg
VB241,AO,Etten-Leur,Food_forest,sand,0.93,5.2,2.757,0.214,12.444,9.037,1075,107.5,476.2,175.2,103.8,1261,1.1,<bg,<bg
VB242,AO,Etten-Leur,Food_forest,sand,1.15,4.5,3.002,0.247,9.496,7.703,951,105.3,559.5,125.7,62.2,633,1.8,<bg,<bg
VB243,AO,Etten-Leur,Food_forest,sand,0.59,4.8,2.813,0.219,10.580,10.850,1019,110.1,509.9,174.7,82.2,825,0.6,<bg,<bg
VB244,AO,Etten-Leur,Food_forest,sand,1.02,4.4,3.664,0.233,12.769,9.526,905,104.9,423.2,96.4,46.4,417,1.4,52,<bg
VB245,AO,Etten-Leur,Food_forest,sand,1.12,4.2,2.696,0.201,9.422,2.957,951,108.9,452.8,81.9,41.3,411,6.0,63,<bg
VB246,AO,Etten-Leur,Food_forest,sand,0.67,4.3,2.909,0.249,18.229,6.454,961,115.4,429.8,126.9,60.3,546,9.1,52,<bg
VB247,AP,Etten-Leur,Grassland,sand,1.22,5.0,2.635,0.218,16.285,5.260,705,33.7,192.8,35.3,78.7,772,6.2,<bg,<bg
VB248,AP,Etten-Leur,Grassland,sand,1.17,5.4,2.639,0.214,10.066,3.896,662,70.8,301.0,28.5,65.1,499,1.9,<bg,<bg
VB249,AP,Etten-Leur,Grassland,sand,1.16,4.7,2.807,0.222,21.461,7.293,808,37.4,228.2,31.5,84.0,766,6.5,<bg,<bg
VB250,AP,Etten-Leur,Grassland,sand,1.14,4.8,2.651,0.225,11.560,5.155,775,37.6,226.5,32.7,86.8,775,5.3,<bg,<bg
VB251,AP,Etten-Leur,Grassland,sand,1.23,4.6,2.387,0.195,14.147,6.639,714,48.8,247.9,56.9,80.7,648,9.9,<bg,<bg
VB252,AP,Etten-Leur,Grassland,sand,1.16,4.5,2.482,0.195,13.713,7.004,809,67.8,300.3,28.2,70.0,567,2.0,<bg,<bg
VB253,AQ,Etten-Leur,Forest,sand,0.74,4.5,2.515,0.193,6.544,2.463,781,109.1,463.4,71.8,50.4,927,4.1,<bg,<bg
VB254,AQ,Etten-Leur,Forest,sand,0.89,4.1,2.404,0.201,9.252,5.075,1096,150.6,640.7,84.2,42.7,716,6.3,<bg,7.7
VB255,AQ,Etten-Leur,Forest,sand,1.07,3.8,2.56,0.203,21.021,0.834,885,154.3,571.2,56.8,27.5,334,2.8,79,7.8
VB256,AQ,Etten-Leur,Forest,sand,1.04,4.6,2.529,0.199,9.506,0.210,1023,112.9,583.5,88.4,68.1,1127,8.0,<bg,<bg
VB257,AQ,Etten-Leur,Forest,sand,0.92,4.9,2.889,0.216,9.921,0.165,854,86.3,477.0,77.2,74.5,1679,7.6,<bg,<bg
VB258,AQ,Etten-Leur,Forest,sand,0.83,3.9,2.241,0.172,9.302,1.828,965,146.2,628.2,74.9,29.1,485,3.0,62,6.1
VB259,AR,Etten-Leur,Arable_field,sand,1.29,4.9,2.213,0.2,6.874,33.075,830,48.9,336.3,46.2,188.9,1141,17.6,<bg,<bg
VB260,AR,Etten-Leur,Arable_field,sand,1.22,5.2,2.651,0.235,4.986,33.315,845,62.3,362.2,49.7,209.0,1258,15.0,<bg,<bg
VB261,AR,Etten-Leur,Arable_field,sand,1.18,5.1,2.34,0.204,7.923,19.482,817,64.3,383.3,46.8,187.2,1101,10.1,<bg,<bg
VB262,AR,Etten-Leur,Arable_field,sand,1.12,4.9,2.712,0.227,7.303,29.349,796,46.8,333.4,48.5,219.2,1155,14.8,<bg,<bg
VB263,AR,Etten-Leur,Arable_field,sand,1.29,5.5,2.362,0.221,6.000,29.818,784,46.2,299.6,47.0,206.8,1144,13.9,<bg,<bg
VB264,AR,Etten-Leur,Arable_field,sand,1.37,5.3,2.401,0.208,7.448,29.299,836,64.6,368.9,75.6,207.0,1031,21.7,<bg,<bg
VB265,AS,Malden,Grassland,loam,0.92,4.1,6.86,0.461,25.652,9.891,981,59.4,327.5,45.8,126.7,1046,4.7,170,<bg
VB266,AS,Malden,Grassland,loam,1.13,4.4,4.683,0.332,14.037,9.556,826,43.4,280.0,38.3,171.8,1094,1.5,<bg,<bg
VB267,AS,Malden,Grassland,loam,1.15,4.4,3.842,0.309,11.260,7.668,820,50.7,342.2,38.4,185.9,1086,4.8,<bg,<bg
VB268,AS,Malden,Grassland,loam,1.07,4.5,3.943,0.303,13.308,8.362,658,33.5,227.2,32.8,157.7,1069,1.7,<bg,<bg
VB269,AS,Malden,Grassland,loam,0.98,4.2,5.891,0.388,16.495,9.691,878,58.5,307.5,47.4,174.1,1223,3.5,87,<bg
VB270,AS,Malden,Grassland,loam,1.19,4.5,3.132,0.263,11.899,2.698,600,21.6,212.0,51.9,199.8,1310,5.3,<bg,<bg
VB271,AT,Malden,Food_forest,loam,0.89,4.4,4.931,0.357,18.259,5.540,913,97.5,381.4,76.1,132.1,1106,7.0,57,<bg
VB272,AT,Malden,Food_forest,loam,0.77,4.7,4.33,0.32,13.293,5.740,901,82.1,414.8,212.5,193.6,1585,9.4,<bg,<bg
VB273,AT,Malden,Food_forest,loam,0.94,4.7,4.699,0.338,21.506,5.035,790,51.9,240.5,47.2,159.3,1448,13.1,<bg,<bg
VB274,AT,Malden,Food_forest,loam,0.84,4.8,3.798,0.273,29.149,14.027,943,96.8,447.3,105.7,131.8,1087,3.4,<bg,<bg
VB275,AT,Malden,Food_forest,loam,0.88,4.4,5.611,0.352,15.491,4.691,908,59.7,284.5,50.6,137.9,1212,9.0,<bg,<bg
VB276,AT,Malden,Food_forest,loam,0.97,4.7,4.485,0.313,10.216,4.151,912,73.9,323.1,210.1,174.5,1347,5.7,<bg,<bg
VB277,AU,Malden,Forest,loam,0.54,3.2,5.224,0.257,14.872,1.549,188,23.8,17.9,29.8,20.6,168,18.2,372,10.2
VB278,AU,Malden,Forest,loam,0.68,3.2,6.162,0.297,14.702,1.803,142,21.9,16.2,34.1,34.1,264,15.9,276,9.4
VB279,AU,Malden,Forest,loam,0.59,3.4,6.62,0.4,26.271,NA,500,43.6,159.5,64.4,30.7,727,21.8,314,11.5
VB280,AU,Malden,Forest,loam,0.51,3.1,4.932,0.241,26.486,0.764,160,20.8,16.1,33.0,30.2,236,14.9,308,<bg
VB281,AU,Malden,Forest,loam,0.62,3.3,3.617,0.193,19.727,NA,126,15.9,13.6,22.9,24.3,152,21.1,283,<bg
VB282,AU,Malden,Forest,loam,0.44,3.4,7.744,0.415,41.073,0.579,282,28.2,57.3,36.1,47.7,374,20.4,461,<bg
VB283,AV,Malden,Arable_field,loam,1.36,6.2,1.803,0.164,2.718,6.139,1486,99.7,907.2,402.0,206.3,1432,13.5,<bg,<bg
VB284,AV,Malden,Arable_field,loam,1.35,6.2,1.804,0.164,1.209,5.370,1448,97.0,871.2,309.3,203.7,1453,18.1,<bg,<bg
VB285,AV,Malden,Arable_field,loam,1.24,6.0,2.065,0.181,3.787,5.710,1350,86.5,773.9,303.5,200.4,1540,16.7,<bg,<bg
VB286,AV,Malden,Arable_field,loam,1.33,5.5,2.1,0.193,5.835,3.532,1231,79.9,682.9,361.9,212.9,1521,21.9,<bg,<bg
VB287,AV,Malden,Arable_field,loam,1.28,5.6,1.648,0.145,3.212,2.598,1274,82.0,705.3,216.1,148.0,1271,16.3,<bg,<bg
VB288,AV,Malden,Arable_field,loam,1.39,5.9,2.079,0.21,4.566,5.265,1282,77.0,793.5,402.6,239.7,1616,29.2,<bg,<bg
VB289,AW,Vaassen,Forest,sand,1.27,3.2,2.783,0.107,2.817,0.455,101,10.4,11.7,9.7,6.3,13,7.0,162,9.6
VB290,AW,Vaassen,Forest,sand,1.18,3.1,3.456,0.118,3.522,NA,153,25.2,54.9,12.2,6.8,13,8.9,264,11.2
VB291,AW,Vaassen,Forest,sand,0.93,3.2,3.301,0.108,6.209,NA,145,24.3,47.6,13.0,4.8,9,8.6,252,13.1
VB292,AW,Vaassen,Forest,sand,1.29,3.5,2.927,0.122,6.644,0.340,139,13.2,13.8,13.8,4.5,7,5.5,280,22.5
VB293,AW,Vaassen,Forest,sand,1.28,3.5,2.447,0.117,7.104,0.360,115,11.6,14.5,12.6,4.9,24,7.3,286,18.7
VB294,AW,Vaassen,Forest,sand,1.16,3.7,2.678,0.112,4.491,0.075,85,10.6,22.8,12.7,3.5,2,4.8,243,21.6
VB295,AX,Vaassen,Food_forest,sand,0.99,5.2,3.142,0.267,8.522,7.613,1469,155.8,1097.7,237.8,116.3,1191,9.1,<bg,<bg
VB296,AX,Vaassen,Food_forest,sand,1.04,4.7,3.266,0.237,8.592,4.651,1151,161.8,870.2,122.7,89.2,772,6.6,<bg,<bg
VB297,AX,Vaassen,Food_forest,sand,1.11,4.9,3.209,0.182,4.556,0.864,931,122.5,667.6,71.1,77.7,913,5.2,<bg,<bg
VB298,AX,Vaassen,Food_forest,sand,1.11,4.7,2.807,0.198,10.371,6.444,1157,151.1,937.6,111.9,68.0,785,5.5,<bg,<bg
VB299,AX,Vaassen,Food_forest,sand,1.06,4.8,3.46,0.25,6.549,3.812,1644,179.6,1064.5,186.1,95.5,891,9.2,<bg,<bg
VB300,AX,Vaassen,Food_forest,sand,1.11,4.7,3.457,0.21,4.756,1.284,1182,137.4,665.9,103.0,85.7,990,5.9,<bg,<bg
VB301,AY,Vaassen,Grassland,sand,1.39,5.6,2.828,0.196,4.186,3.956,1304,126.4,823.0,126.4,182.4,1215,18.9,<bg,<bg
VB302,AY,Vaassen,Grassland,sand,1.35,5.1,2.473,0.176,3.931,2.053,1187,123.6,772.7,133.1,164.2,1050,18.3,<bg,<bg
VB303,AY,Vaassen,Grassland,sand,1.39,5.5,3.074,0.212,4.226,2.548,1234,117.0,776.6,98.3,181.9,1218,16.9,<bg,<bg
VB304,AY,Vaassen,Grassland,sand,1.32,5.2,3.285,0.206,4.351,2.118,1189,129.0,856.1,96.0,201.3,1368,18.9,<bg,<bg
VB305,AY,Vaassen,Grassland,sand,1.34,5.1,3.448,0.21,3.712,1.693,1253,124.9,825.2,114.5,200.7,1307,19.5,<bg,<bg
VB306,AY,Vaassen,Grassland,sand,1.40,5.2,3.646,0.221,2.353,3.007,1272,126.0,847.6,140.3,200.8,1323,23.0,<bg,<bg
VB307,AZ,Vaassen,Arable_field,sand,1.41,5.2,3.101,0.212,5.925,10.965,1362,126.5,801.9,90.1,151.0,1042,5.1,<bg,<bg
VB308,AZ,Vaassen,Arable_field,sand,1.34,5.6,2.402,0.184,5.800,18.778,1148,105.3,854.4,104.5,111.8,1158,4.4,<bg,<bg
VB309,AZ,Vaassen,Arable_field,sand,1.42,5.0,2.855,0.203,5.405,8.942,1352,119.7,869.4,94.6,131.1,1100,4.4,<bg,<bg
VB310,AZ,Vaassen,Arable_field,sand,1.41,5.5,2.932,0.202,5.915,7.418,1144,107.2,783.9,86.9,108.9,1185,4.3,<bg,<bg
VB311,AZ,Vaassen,Arable_field,sand,1.38,5.3,3.069,0.209,5.655,16.855,1196,111.0,872.6,110.6,133.6,1198,4.9,<bg,<bg
VB312,AZ,Vaassen,Arable_field,sand,1.40,5.3,3.008,0.208,4.901,9.007,1287,117.6,843.0,98.0,107.1,1017,4.6,<bg,<bg
