code,site,location,landuse,soiltexture,bulkdensity,pH_KCl,C_total,N_total,NH4,NO3,P_total,P_Olsen,P_Ox,K,Mg,Ca,Na,Al,Fe
VB039,G,Vlaardingen,Food_forest,clay,0.76,6.4,6.982,0.525,12.721,25.194,1760,119.9,933.5,352.3,300.5,8395,33.4,<bg,<bg
VB040,G,Vlaardingen,Food_forest,clay,0.87,6.8,5.714,0.414,9.376,16.420,1330,88.6,682.0,329.5,243.0,7252,30.4,<bg,<bg
VB041,G,Vlaardingen,Food_forest,clay,0.96,6.1,5.947,0.444,10.354,28.728,1209,70.9,645.6,425.5,444.7,6974,17.7,<bg,<bg
VB042,G,Vlaardingen,Food_forest,clay,0.98,6.5,4.36,0.322,7.536,20.250,953,49.7,396.2,344.9,211.7,5661,39.6,<bg,<bg
VB043,H,Boelenslaan,Food_forest,sand,0.81,4.1,2.204,0.145,6.597,1.999,244,51.4,98.4,45.9,53.1,296,3.1,105,3.2
VB044,H,Boelenslaan,Food_forest,sand,1.09,4.3,1.985,0.128,4.826,3.483,255,41.6,92.7,36.6,67.5,437,3.4,87,6.5
VB045,H,Boelenslaan,Food_forest,sand,1.08,4.2,2.809,0.182,14.513,6.913,340,52.4,110.0,21.6,75.2,431,5.6,94,3.3
VB046,H,Boelenslaan,Food_forest,sand,1.19,4.3,2.208,0.163,5.402,3.947,414,84.6,190.2,28.1,86.1,397,4.3,81,<bg
VB047,H,Boelenslaan,Food_forest,sand,1.20,4.2,2.61,0.163,6.161,4.953,352,65.3,132.5,43.1,90.0,541,5.1,117,<bg
VB048,H,Boelenslaan,Food_forest,sand,1.02,4.3,2.376,0.167,10.877,8.638,390,71.6,159.0,28.4,91.1,497,6.0,84,<bg
VB049,I,Boelenslaan,Grassland,sand,1.44,4.2,2.987,0.197,13.670,6.730,766,159.1,430.6,128.4,92.2,359,12.8,78,<bg
VB050,I,Boelenslaan,Grassland,sand,1.34,4.3,2.985,0.178,7.982,5.619,512,109.5,245.3,61.5,118.3,619,17.8,54,<bg
VB051,I,Boelenslaan,Grassland,sand,1.25,4.4,2.065,0.153,6.894,7.094,716,133.0,390.5,114.0,109.0,508,13.0,<bg,<bg
VB052,I,Boelenslaan,Grassland,sand,1.43,4.8,2.654,0.199,18.679,11.398,780,137.8,450.5,242.4,141.6,653,17.0,<bg,<bg
VB053,I,Boelenslaan,Grassland,sand,1.43,4.4,2.955,0.179,7.537,7.641,743,154.2,415.0,194.6,133.1,593,21.8,<bg,<bg
VB054,I,Boelenslaan,Grassland,sand,1.32,4.2,3.634,0.21,15.183,8.191,484,99.5,200.6,244.2,117.3,537,15.0,67,4.5
VB055,J,Boelenslaan,Food_forest,sand,NA,4.5,3.244,0.183,7.756,4.217,580,124.1,347.6,31.0,84.5,1144,6.0,<bg,<bg
VB056,J,Boelenslaan,Food_forest,sand,1.26,3.8,3.06,0.17,15.694,7.809,408,110.0,237.0,25.3,35.6,397,5.1,172,7.9
VB057,J,Boelenslaan,Food_forest,sand,0.83,4.1,2.754,0.181,18.633,10.602,392,94.0,212.7,36.6,45.8,637,5.5,98,4.8
VB058,J,Boelenslaan,Food_forest,sand,0.76,4.0,5.647,0.297,31.385,7.944,309,62.6,120.6,108.6,114.8,1206,17.2,70,5.3
VB059,J,Boelenslaan,Food_forest,sand,0.98,3.7,4.577,0.215,17.746,5.411,511,115.4,228.9,40.3,48.2,493,8.2,205,12.1
VB060,J,Boelenslaan,Food_forest,sand,1.33,4.0,1.392,0.093,9.413,2.090,230,48.4,98.4,27.1,42.9,246,2.7,95,3.6
VB061,K,Boelenslaan,Forest,sand,1.20,3.8,3.06,0.182,11.083,3.395,572,136.6,346.5,40.6,34.2,463,4.6,104,7
VB062,K,Boelenslaan,Forest,sand,0.92,3.5,6.438,0.293,12.144,3.814,501,90.6,171.0,35.3,27.2,317,180.0,353,19.2
VB063,K,Boelenslaan,Forest,sand,0.95,3.4,4.302,0.202,9.340,3.225,320,84.4,127.6,39.8,20.6,210,9.6,358,13.7
VB064,K,Boelenslaan,Forest,sand,0.77,3.4,4.097,0.215,8.912,2.851,342,101.9,159.7,24.9,23.7,182,11.8,330,17.6
