"","i5","dna_code","m","Method","Order.q","SC","qD","qD.LCL","qD.UCL","unique_site","landuse","location","texture"
"1","i5",149,31042,"Rarefaction",0,0.99964171334766,512.740114539438,509.267114506435,516.21311457244,11,"Forest","Boelenslaan","Zand"
"2","i5",2,31042,"Rarefaction",0,0.999772771122787,501.741006243051,499.048595975235,504.433416510867,25,"Food_forest","Swalmen","Zand"
"3","i5",150,31042,"Rarefaction",0,0.999818961184333,435.926472611246,433.710456629065,438.142488593427,10,"Food_forest","Boelenslaan","Zand"
"4","i5",151,31042,"Rarefaction",0,0.999773516124696,438.187291983723,435.122319496974,441.252264470473,25,"Food_forest","Swalmen","Zand"
"5","i5",5,31042,"Rarefaction",0,0.999854065876615,456.254415550845,454.063743248778,458.445087852912,8,"Food_forest","Boelenslaan","Zand"
"6","i5",6,31042,"Rarefaction",0,0.999693808534605,394.724333158745,392.043336776029,397.405329541461,13,"Forest","Groesbeek","Leem"
"7","i5",7,31042,"Rarefaction",0,0.999700605771232,305.085323710286,302.219210819532,307.95143660104,12,"Arable_field","Groesbeek","Leem"
"8","i5",8,31042,"Rarefaction",0,0.999995594756853,120.991262281389,120.515928401649,121.466596161129,22,"Forest","Amsterdam","Klei"
"9","i5",9,31042,"Rarefaction",0,0.999815017180006,306.036771865427,303.685479309388,308.388064421467,4,"Arable_field","Haarzuilens","Klei"
"10","i5",10,31042,"Rarefaction",0,0.999822982810557,389.879367594566,387.863811217411,391.894923971722,23,"Forest","Swalmen","Zand"
"11","i5",11,31042,"Rarefaction",0,0.999631544292667,571.298886079228,567.62790055871,574.969871599746,7,"Food_forest","Vlaardingen","Klei"
"12","i5",12,31042,"Rarefaction",0,0.999751593811964,394.544717849685,392.260258935665,396.829176763705,19,"Arable_field","Sint-Truiden","Leem"
"13","i5",13,31042,"Rarefaction",0,0.999528471627181,461.498402581164,458.237698222967,464.759106939361,3,"Forest","Haarzuilens","Klei"
"14","i5",152,31042,"Rarefaction",0,0.999846085589158,413.336302663489,411.187576477835,415.485028849144,11,"Forest","Boelenslaan","Zand"
"15","i5",15,31042,"Rarefaction",0,0.999683546162636,484.317781677611,481.605204670008,487.030358685213,5,"Forest","Vlaardingen","Klei"
"16","i5",16,31042,"Rarefaction",0,0.999881149234766,232.073963514871,230.614847883207,233.533079146535,20,"Grassland","Amsterdam","Klei"
"17","i5",17,31042,"Rarefaction",0,0.999797631217969,345.922256152781,343.244206564021,348.600305741541,22,"Forest","Amsterdam","Klei"
"18","i5",18,31042,"Rarefaction",0,0.999666773120124,596.472240875718,593.136391684846,599.80809006659,1,"Food_forest","Haarzuilens","Klei"
"19","i5",19,31042,"Rarefaction",0,0.999842643632371,372.064024733236,369.733444686259,374.394604780214,14,"Grassland","Groesbeek","Leem"
"20","i5",235,31042,"Rarefaction",0,0.999288951856071,506.261141281993,502.828634274512,509.693648289474,35,"Food_forest","Rijswijk","Klei"
"21","i5",236,31042,"Rarefaction",0,0.999156102200035,466.647053968812,463.401510999594,469.89259693803,29,"Grassland","Nevele","Zand"
"22","i5",237,31042,"Rarefaction",0,0.999813641477043,398.043952034131,395.940187816652,400.147716251611,52,"Arable_field","Vaassen","Zand"
"23","i5",238,31042,"Rarefaction",0,0.999584872387195,477.938236367342,474.645624835074,481.230847899611,45,"Grassland","Malden","Leem"
"24","i5",239,31042,"Rarefaction",0,0.999357600154391,420.163640082975,417.281517401674,423.045762764275,44,"Arable_field","Etten-Leur","Zand"
"25","i5",240,31042,"Rarefaction",0,0.999385372970261,513.011828473789,511.132634906935,514.891022040642,45,"Grassland","Malden","Leem"
"26","i5",241,31042,"Rarefaction",0,0.999697089047234,488.766672491906,486.836578720493,490.69676626332,38,"Grassland","Oostwaard","Klei"
"27","i5",153,31042,"Rarefaction",0,0.999829883306935,354.077188825561,351.913291006168,356.241086644955,13,"Forest","Groesbeek","Leem"
"28","i5",242,31042,"Rarefaction",0,0.999647423046192,369.292061040365,366.337123824448,372.246998256281,47,"Forest","Malden","Leem"
"29","i5",243,31042,"Rarefaction",0,0.999546444930057,431.154182653316,427.533234322455,434.775130984177,48,"Arable_field","Malden","Leem"
"30","i5",244,31042,"Rarefaction",0,0.999140118945229,470.454338313558,467.280701558678,473.627975068439,48,"Arable_field","Malden","Leem"
"31","i5",245,31042,"Rarefaction",0,0.999571802902155,419.615338720312,416.972622294793,422.258055145831,31,"Grassland","Houthulst","Leem"
"32","i5",374,31042,"Rarefaction",0,0.999106373536229,585.775458487675,582.29968622966,589.25123074569,39,"Forest","Oostwaard","Klei"
"33","i5",247,31042,"Rarefaction",0,0.999838080691065,411.208681326838,408.931057992145,413.48630466153,45,"Grassland","Malden","Leem"
"34","i5",248,31042,"Rarefaction",0,0.999646521533165,426.525196544904,423.872010821016,429.178382268793,38,"Grassland","Oostwaard","Klei"
"35","i5",249,31042,"Rarefaction",0,0.999533200073885,568.570330386006,565.55771592384,571.582944848173,43,"Forest","Etten-Leur","Zand"
"36","i5",250,31042,"Rarefaction",0,0.999303905792739,655.170845487359,651.913972494168,658.42771848055,26,"Food_forest","Nevele","Zand"
"37","i5",251,31042,"Rarefaction",0,0.999425790107975,563.406974920435,559.492370400805,567.321579440066,43,"Forest","Etten-Leur","Zand"
"38","i5",154,31042,"Rarefaction",0,0.99973305014419,499.464893321513,497.137209500425,501.792577142601,25,"Food_forest","Swalmen","Zand"
"39","i5",252,31042,"Rarefaction",0,0.999283637737635,523.185306441639,520.034383616763,526.336229266515,34,"Grassland","Rijswijk","Klei"
