"","soilproperty","dispersion","RE_variance","R2marg","R2cond","sigma","R2cond_R2marg"
"1","bulkdensity",0.19,0.13,0.25,0.49,0.19,0.24
"2","C_total",0.29,0.31,0.13,0.61,0.29,0.48
"3","N_total",0.24,0.32,0.03,0.66,0.24,0.63
"4","P_total",0.4,0.33,0.13,0.5,0.4,0.37
