"","group","dispersion","RE_variance","R2marg","R2cond","sigma","R2cond_R2marg"
"1","bacteria",0.25,0.16,0.05,0.32,0.25,0.27
"2","fungi",0.44,0.17,0.13,0.25,0.44,0.12
"3","springtails",0.48,0.14,0.06,0.14,0.48,0.08
"4","isopods",0.91,0.14,0.39,0.41,0.91,0.03
"5","millipedes",1.01,0.32,0.43,0.54,1.01,0.11
"6","centipedes",0.97,0.12,0.1,0.12,0.97,0.02
"7","carabids",1.26,0.36,0.12,0.4,1.26,0.28
"8","earthworms",0.95,0.21,0.11,0.19,0.95,0.09
