i5_code;i5;dna_code;dna_region;code;texture;location;unique_site;landuse
i5.232;i5.;232;ITS;VB156;Zand;Nevele;26;Food_forest
i5.233;i5.;233;ITS;VB232;Klei;Oostwaard;39;Forest
i5.234;i5.;234;ITS;VB309;Zand;Vaassen;52;Arable_field
i5.235;i5.;235;ITS;VB205;Klei;Rijswijk;35;Food_forest
i5.236;i5.;236;ITS;VB170;Zand;Nevele;29;Grassland
i5.237;i5.;237;ITS;VB312;Zand;Vaassen;52;Arable_field
i5.238;i5.;238;ITS;VB266;Leem;Malden;45;Grassland
i5.239;i5.;239;ITS;VB264;Zand;Etten-Leur;44;Arable_field
i5.240;i5.;240;ITS;VB265;Leem;Malden;45;Grassland
i5.241;i5.;241;ITS;VB227;Klei;Oostwaard;38;Grassland
i5.242;i5.;242;ITS;VB282;Leem;Malden;47;Forest
i5.243;i5.;243;ITS;VB285;Leem;Malden;48;Arable_field
i5.244;i5.;244;ITS;VB286;Leem;Malden;48;Arable_field
i5.245;i5.;245;ITS;VB181;Leem;Houthulst;31;Grassland
i5.374;i5.;374;ITS;VB230;Klei;Oostwaard;39;Forest
i5.247;i5.;247;ITS;VB267;Leem;Malden;45;Grassland
i5.248;i5.;248;ITS;VB225;Klei;Oostwaard;38;Grassland
i5.249;i5.;249;ITS;VB258;Zand;Etten-Leur;43;Forest
i5.250;i5.;250;ITS;VB151;Zand;Nevele;26;Food_forest
i5.251;i5.;251;ITS;VB253;Zand;Etten-Leur;43;Forest
i5.252;i5.;252;ITS;VB200;Klei;Rijswijk;34;Grassland
i5.253;i5.;253;ITS;VB180;Leem;Houthulst;30;Food_forest
i5.254;i5.;254;ITS;VB219;Klei;Rijswijk;37;Forest
i5.255;i5.;255;ITS;VB269;Leem;Malden;45;Grassland
i5.256;i5.;256;ITS;VB191;Leem;Houthulst;32;Forest
i5.257;i5.;257;ITS;VB224;Klei;Oostwaard;38;Grassland
i5.258;i5.;258;ITS;VB168;Zand;Nevele;28;Forest
i5.259;i5.;259;ITS;VB158;Zand;Nevele;27;Arable_field
i5.260;i5.;260;ITS;VB206;Klei;Rijswijk;35;Food_forest
i5.261;i5.;261;ITS;VB287;Leem;Malden;48;Arable_field
i5.262;i5.;262;ITS;VB234;Klei;Oostwaard;39;Forest
i5.263;i5.;263;ITS;VB154;Zand;Nevele;26;Food_forest
i5.264;i5.;264;ITS;VB213;Klei;Rijswijk;36;Arable_field
i5.265;i5.;265;ITS;VB222;Klei;Rijswijk;37;Forest
i5.266;i5.;266;ITS;VB262;Zand;Etten-Leur;44;Arable_field
i5.267;i5.;267;ITS;VB288;Leem;Malden;48;Arable_field
i5.268;i5.;268;ITS;VB231;Klei;Oostwaard;39;Forest
i5.269;i5.;269;ITS;VB245;Zand;Etten-Leur;41;Food_forest
i5.270;i5.;270;ITS;VB198;Leem;Houthulst;33;Arable_field
i5.271;i5.;271;ITS;VB171;Zand;Nevele;29;Grassland
i5.272;i5.;272;ITS;VB248;Zand;Etten-Leur;42;Grassland
i5.273;i5.;273;ITS;VB275;Leem;Malden;46;Food_forest
i5.274;i5.;274;ITS;VB261;Zand;Etten-Leur;44;Arable_field
i5.275;i5.;275;ITS;VB296;Zand;Vaassen;50;Food_forest
i5.276;i5.;276;ITS;VB201;Klei;Rijswijk;34;Grassland
i5.277;i5.;277;ITS;VB254;Zand;Etten-Leur;43;Forest
i5.278;i5.;278;ITS;VB307;Zand;Vaassen;52;Arable_field
i5.279;i5.;279;ITS;VB220;Klei;Rijswijk;37;Forest
i5.280;i5.;280;ITS;VB226;Klei;Oostwaard;38;Grassland
i5.281;i5.;281;ITS;VB268;Leem;Malden;45;Grassland
i5.282;i5.;282;ITS;VB241;Zand;Etten-Leur;41;Food_forest
i5.283;i5.;283;ITS;VB159;Zand;Nevele;27;Arable_field
i5.284;i5.;284;ITS;VB173;Zand;Nevele;29;Grassland
i5.285;i5.;285;ITS;VB251;Zand;Etten-Leur;42;Grassland
i5.286;i5.;286;ITS;VB276;Leem;Malden;46;Food_forest
i5.287;i5.;287;ITS;VB179;Leem;Houthulst;30;Food_forest
i5.288;i5.;288;ITS;VB212;Klei;Rijswijk;36;Arable_field
i5.289;i5.;289;ITS;VB216;Klei;Rijswijk;36;Arable_field
i5.290;i5.;290;ITS;VB247;Zand;Etten-Leur;42;Grassland
i5.291;i5.;291;ITS;VB294;Zand;Vaassen;49;Forest
i5.292;i5.;292;ITS;VB235;Klei;Oostwaard;40;Food_forest
i5.293;i5.;293;ITS;VB211;Klei;Rijswijk;36;Arable_field
i5.294;i5.;294;ITS;VB204;Klei;Rijswijk;34;Grassland
i5.376;i5.;376;ITS;VB281;Leem;Malden;47;Forest
i5.296;i5.;296;ITS;VB271;Leem;Malden;46;Food_forest
i5.297;i5.;297;ITS;VB252;Zand;Etten-Leur;42;Grassland
i5.298;i5.;298;ITS;VB182;Leem;Houthulst;31;Grassland
i5.299;i5.;299;ITS;VB209;Klei;Rijswijk;35;Food_forest
i5.300;i5.;300;ITS;VB157;Zand;Nevele;27;Arable_field
i5.301;i5.;301;ITS;VB177;Leem;Houthulst;30;Food_forest
i5.302;i5.;302;ITS;VB270;Leem;Malden;45;Grassland
i5.303;i5.;303;ITS;VB303;Zand;Vaassen;51;Grassland
i5.304;i5.;304;ITS;VB300;Zand;Vaassen;50;Food_forest
i5.305;i5.;305;ITS;VB161;Zand;Nevele;27;Arable_field
i5.306;i5.;306;ITS;VB278;Leem;Malden;47;Forest
i5.307;i5.;307;ITS;VB277;Leem;Malden;47;Forest
i5.308;i5.;308;ITS;VB162;Zand;Nevele;27;Arable_field
i5.309;i5.;309;ITS;VB218;Klei;Rijswijk;37;Forest
i5.310;i5.;310;ITS;VB243;Zand;Etten-Leur;41;Food_forest
i5.311;i5.;311;ITS;VB301;Zand;Vaassen;51;Grassland
i5.312;i5.;312;ITS;VB244;Zand;Etten-Leur;41;Food_forest
i5.313;i5.;313;ITS;VB228;Klei;Oostwaard;38;Grassland
i5.314;i5.;314;ITS;VB304;Zand;Vaassen;51;Grassland
i5.315;i5.;315;ITS;VB263;Zand;Etten-Leur;44;Arable_field
i5.316;i5.;316;ITS;VB240;Klei;Oostwaard;40;Food_forest
i5.317;i5.;317;ITS;VB229;Klei;Oostwaard;39;Forest
i5.318;i5.;318;ITS;VB306;Zand;Vaassen;51;Grassland
i5.319;i5.;319;ITS;VB292;Zand;Vaassen;49;Forest
i5.320;i5.;320;ITS;VB178;Leem;Houthulst;30;Food_forest
i5.321;i5.;321;ITS;VB197;Leem;Houthulst;33;Arable_field
i5.322;i5.;322;ITS;VB233;Klei;Oostwaard;39;Forest
i5.323;i5.;323;ITS;VB273;Leem;Malden;46;Food_forest
i5.324;i5.;324;ITS;VB293;Zand;Vaassen;49;Forest
i5.325;i5.;325;ITS;VB217;Klei;Rijswijk;37;Forest
i5.326;i5.;326;ITS;VB272;Leem;Malden;46;Food_forest
i5.327;i5.;327;ITS;VB172;Zand;Nevele;29;Grassland
i5.378;i5.;378;ITS;VB308;Zand;Vaassen;52;Arable_field
i5.329;i5.;329;ITS;VB184;Leem;Houthulst;31;Grassland
i5.330;i5.;330;ITS;VB257;Zand;Etten-Leur;43;Forest
i5.331;i5.;331;ITS;VB259;Zand;Etten-Leur;44;Arable_field
i5.332;i5.;332;ITS;VB246;Zand;Etten-Leur;41;Food_forest
i5.333;i5.;333;ITS;VB291;Zand;Vaassen;49;Forest
i5.334;i5.;334;ITS;VB196;Leem;Houthulst;33;Arable_field
i5.335;i5.;335;ITS;VB239;Klei;Oostwaard;40;Food_forest
i5.336;i5.;336;ITS;VB155;Zand;Nevele;26;Food_forest
i5.337;i5.;337;ITS;VB176;Leem;Houthulst;30;Food_forest
i5.338;i5.;338;ITS;VB310;Zand;Vaassen;52;Arable_field
i5.380;i5.;380;ITS;VB298;Zand;Vaassen;50;Food_forest
i5.381;i5.;381;ITS;VB174;Zand;Nevele;29;Grassland
i5.341;i5.;341;ITS;VB193;Leem;Houthulst;33;Arable_field
i5.342;i5.;342;ITS;VB299;Zand;Vaassen;50;Food_forest
i5.343;i5.;343;ITS;VB160;Zand;Nevele;27;Arable_field
i5.344;i5.;344;ITS;VB256;Zand;Etten-Leur;43;Forest
i5.345;i5.;345;ITS;VB236;Klei;Oostwaard;40;Food_forest
i5.346;i5.;346;ITS;VB215;Klei;Rijswijk;36;Arable_field
i5.347;i5.;347;ITS;VB175;Leem;Houthulst;30;Food_forest
i5.348;i5.;348;ITS;VB280;Leem;Malden;47;Forest
i5.349;i5.;349;ITS;VB202;Klei;Rijswijk;34;Grassland
i5.350;i5.;350;ITS;VB249;Zand;Etten-Leur;42;Grassland
i5.351;i5.;351;ITS;VB302;Zand;Vaassen;51;Grassland
i5.352;i5.;352;ITS;VB166;Zand;Nevele;28;Forest
i5.353;i5.;353;ITS;VB190;Leem;Houthulst;32;Forest
i5.354;i5.;354;ITS;VB203;Klei;Rijswijk;34;Grassland
i5.355;i5.;355;ITS;VB165;Zand;Nevele;28;Forest
i5.356;i5.;356;ITS;VB250;Zand;Etten-Leur;42;Grassland
i5.357;i5.;357;ITS;VB297;Zand;Vaassen;50;Food_forest
i5.382;i5.;382;ITS;VB311;Zand;Vaassen;52;Arable_field
