dna_code_noi5;dna_code;dna_region;code;landuse;unique_site;location;texture
149;i5.149;16S;VB063;Forest;11;Boelenslaan;Zand
2;i5.2;16S;VB150;Food_forest;25;Swalmen;Zand
150;i5.150;16S;VB060;Food_forest;10;Boelenslaan;Zand
151;i5.151;16S;VB149;Food_forest;25;Swalmen;Zand
5;i5.5;16S;VB044;Food_forest;8;Boelenslaan;Zand
6;i5.6;16S;VB075;Forest;13;Groesbeek;Leem
7;i5.7;16S;VB071;Arable_field;12;Groesbeek;Leem
8;i5.8;16S;VB127;Forest;22;Amsterdam;Klei
9;i5.9;16S;VB024;Arable_field;4;Haarzuilens;Klei
10;i5.10;16S;VB137;Forest;23;Swalmen;Zand
11;i5.11;16S;VB041;Food_forest;7;Vlaardingen;Klei
12;i5.12;16S;VB113;Arable_field;19;Sint-Truiden;Leem
13;i5.13;16S;VB013;Forest;3;Haarzuilens;Klei
152;i5.152;16S;VB064;Forest;11;Boelenslaan;Zand
15;i5.15;16S;VB028;Forest;5;Vlaardingen;Klei
16;i5.16;16S;VB117;Grassland;20;Amsterdam;Klei
17;i5.17;16S;VB128;Forest;22;Amsterdam;Klei
18;i5.18;16S;VB002;Food_forest;1;Haarzuilens;Klei
19;i5.19;16S;VB081;Grassland;14;Groesbeek;Leem
153;i5.153;16S;VB077;Forest;13;Groesbeek;Leem
154;i5.154;16S;VB147;Food_forest;25;Swalmen;Zand
155;i5.155;16S;VB099;Forest;17;Sint-Truiden;Leem
156;i5.156;16S;VB138;Forest;23;Swalmen;Zand
24;i5.24;16S;VB068;Arable_field;12;Groesbeek;Leem
157;i5.157;16S;VB046;Food_forest;8;Boelenslaan;Zand
26;i5.26;16S;VB084;Grassland;14;Groesbeek;Leem
27;i5.27;16S;VB030;Forest;5;Vlaardingen;Klei
158;i5.158;16S;VB059;Food_forest;10;Boelenslaan;Zand
29;i5.29;16S;VB103;Grassland;18;Sint-Truiden;Leem
159;i5.159;16S;VB125;Food_forest;21;Amsterdam;Klei
31;i5.31;16S;VB133;Forest;23;Swalmen;Zand
160;i5.160;16S;VB043;Food_forest;8;Boelenslaan;Zand
161;i5.161;16S;VB006;Food_forest;1;Haarzuilens;Klei
34;i5.34;16S;VB122;Food_forest;21;Amsterdam;Klei
162;i5.162;16S;VB062;Forest;11;Boelenslaan;Zand
36;i5.36;16S;VB010;Grassland;2;Haarzuilens;Klei
37;i5.37;16S;VB129;Forest;22;Amsterdam;Klei
38;i5.38;16S;VB049;Grassland;9;Boelenslaan;Zand
39;i5.39;16S;VB105;Grassland;18;Sint-Truiden;Leem
40;i5.40;16S;VB146;Food_forest;25;Swalmen;Zand
163;i5.163;16S;VB061;Food_forest;11;Boelenslaan;Zand
164;i5.164;16S;VB119;Grassland;20;Amsterdam;Klei
43;i5.43;16S;VB021;Arable_field;4;Haarzuilens;Klei
359;i5.359;16S;VB141;Grassland;24;Swalmen;Zand
166;i5.166;16S;VB123;Food_forest;21;Amsterdam;Klei
167;i5.167;16S;VB087;Food_forest;15;Groesbeek;Leem
47;i5.47;16S;VB097;Forest;17;Sint-Truiden;Leem
48;i5.48;16S;VB053;Grassland;9;Boelenslaan;Zand
49;i5.49;16S;VB034;Grassland;6;Vlaardingen;Klei
50;i5.50;16S;VB055;Food_forest;10;Boelenslaan;Zand
168;i5.168;16S;VB112;Arable_field;19;Sint-Truiden;Leem
52;i5.52;16S;VB116;Grassland;20;Amsterdam;Klei
53;i5.53;16S;VB035;Grassland;6;Vlaardingen;Klei
54;i5.54;16S;VB042;Food_forest;7;Vlaardingen;Klei
55;i5.55;16S;VB037;Food_forest;7;Vlaardingen;Klei
56;i5.56;16S;VB070;Arable_field;12;Groesbeek;Leem
169;i5.169;16S;VB089;Food_forest;15;Groesbeek;Leem
58;i5.58;16S;VB106;Grassland;18;Sint-Truiden;Leem
59;i5.59;16S;VB082;Grassland;14;Groesbeek;Leem
60;i5.60;16S;VB073;Forest;13;Groesbeek;Leem
360;i5.360;16S;VB135;Forest;23;Swalmen;Zand
62;i5.62;16S;VB014;Forest;3;Haarzuilens;Klei
63;i5.63;16S;VB118;Grassland;20;Amsterdam;Klei
171;i5.171;16S;VB036;Grassland;6;Vlaardingen;Klei
65;i5.65;16S;VB052;Grassland;9;Boelenslaan;Zand
173;i5.173;16S;VB136;Forest;23;Swalmen;Zand
67;i5.67;16S;VB048;Food_forest;8;Boelenslaan;Zand
68;i5.68;16S;VB076;Forest;13;Groesbeek;Leem
69;i5.69;16S;VB109;Arable_field;19;Sint-Truiden;Leem
361;i5.361;16S;VB045;Food_forest;8;Boelenslaan;Zand
175;i5.175;16S;VB026;Forest;5;Vlaardingen;Klei
72;i5.72;16S;VB085;Food_forest;15;Groesbeek;Leem
73;i5.73;16S;VB022;Arable_field;4;Haarzuilens;Klei
74;i5.74;16S;VB091;Food_forest;16;Sint-Truiden;Leem
362;i5.362;16S;VB098;Forest;17;Sint-Truiden;Leem
177;i5.177;16S;VB032;Grassland;6;Vlaardingen;Klei
77;i5.77;16S;VB057;Food_forest;10;Boelenslaan;Zand
78;i5.78;16S;VB101;Forest;17;Sint-Truiden;Leem
79;i5.79;16S;VB012;Grassland;2;Haarzuilens;Klei
80;i5.80;16S;VB031;Grassland;6;Vlaardingen;Klei
81;i5.81;16S;VB054;Grassland;9;Boelenslaan;Zand
82;i5.82;16S;VB040;Food_forest;7;Vlaardingen;Klei
83;i5.83;16S;VB126;Food_forest;21;Amsterdam;Klei
84;i5.84;16S;VB008;Grassland;2;Haarzuilens;Klei
178;i5.178;16S;VB066;Forest;11;Boelenslaan;Zand
86;i5.86;16S;VB144;Grassland;24;Swalmen;Zand
364;i5.364;16S;VB102;Forest;17;Sint-Truiden;Leem
88;i5.88;16S;VB065;Forest;11;Boelenslaan;Zand
180;i5.180;16S;VB131;Forest;22;Amsterdam;Klei
90;i5.90;16S;VB114;Arable_field;19;Sint-Truiden;Leem
181;i5.181;16S;VB148;Food_forest;25;Swalmen;Zand
365;i5.365;16S;VB058;Food_forest;10;Boelenslaan;Zand
183;i5.183;16S;VB003;Food_forest;1;Haarzuilens;Klei
94;i5.94;16S;VB023;Arable_field;4;Haarzuilens;Klei
95;i5.95;16S;VB090;Food_forest;15;Groesbeek;Leem
96;i5.96;16S;VB047;Food_forest;8;Boelenslaan;Zand
97;i5.97;16S;VB020;Arable_field;4;Haarzuilens;Klei
98;i5.98;16S;VB001;Food_forest;1;Haarzuilens;Klei
99;i5.99;16S;VB095;Food_forest;16;Sint-Truiden;Leem
184;i5.184;16S;VB100;Forest;17;Sint-Truiden;Leem
366;i5.366;16S;VB067;Arable_field;12;Groesbeek;Leem
102;i5.102;16S;VB038;Food_forest;7;Vlaardingen;Klei
103;i5.103;16S;VB088;Food_forest;15;Groesbeek;Leem
104;i5.104;16S;VB027;Forest;5;Vlaardingen;Klei
105;i5.105;16S;VB029;Forest;5;Vlaardingen;Klei
367;i5.367;16S;VB139;Grassland;24;Swalmen;Zand
107;i5.107;16S;VB093;Food_forest;16;Sint-Truiden;Leem
108;i5.108;16S;VB120;Grassland;20;Amsterdam;Klei
109;i5.109;16S;VB072;Arable_field;12;Groesbeek;Leem
187;i5.187;16S;VB121;Food_forest;21;Amsterdam;Klei
111;i5.111;16S;VB015;Forest;3;Haarzuilens;Klei
112;i5.112;16S;VB004;Food_forest;1;Haarzuilens;Klei
113;i5.113;16S;VB092;Food_forest;16;Sint-Truiden;Leem
114;i5.114;16S;VB018;Forest;3;Haarzuilens;Klei
368;i5.368;16S;VB056;Food_forest;10;Boelenslaan;Zand
116;i5.116;16S;VB145;Food_forest;25;Swalmen;Zand
117;i5.117;16S;VB025;Forest;5;Vlaardingen;Klei
369;i5.369;16S;VB142;Grassland;24;Swalmen;Zand
119;i5.119;16S;VB017;Forest;3;Haarzuilens;Klei
120;i5.120;16S;VB050;Grassland;9;Boelenslaan;Zand
190;i5.190;16S;VB124;Food_forest;21;Amsterdam;Klei
122;i5.122;16S;VB108;Grassland;18;Sint-Truiden;Leem
370;i5.370;16S;VB130;Forest;22;Amsterdam;Klei
124;i5.124;16S;VB104;Grassland;18;Sint-Truiden;Leem
125;i5.125;16S;VB011;Grassland;2;Haarzuilens;Klei
126;i5.126;16S;VB086;Food_forest;15;Groesbeek;Leem
127;i5.127;16S;VB019;Arable_field;4;Haarzuilens;Klei
128;i5.128;16S;VB111;Arable_field;19;Sint-Truiden;Leem
129;i5.129;16S;VB107;Grassland;18;Sint-Truiden;Leem
130;i5.130;16S;VB007;Grassland;2;Haarzuilens;Klei
131;i5.131;16S;VB074;Forest;13;Groesbeek;Leem
132;i5.132;16S;VB005;Food_forest;1;Haarzuilens;Klei
133;i5.133;16S;VB078;Forest;13;Groesbeek;Leem
134;i5.134;16S;VB143;Grassland;24;Swalmen;Zand
193;i5.193;16S;VB140;Grassland;24;Swalmen;Zand
136;i5.136;16S;VB039;Food_forest;7;Vlaardingen;Klei
137;i5.137;16S;VB033;Grassland;6;Vlaardingen;Klei
138;i5.138;16S;VB069;Arable_field;12;Groesbeek;Leem
139;i5.139;16S;VB083;Grassland;14;Groesbeek;Leem
140;i5.140;16S;VB115;Grassland;20;Amsterdam;Klei
141;i5.141;16S;VB016;Forest;3;Haarzuilens;Klei
142;i5.142;16S;VB094;Food_forest;16;Sint-Truiden;Leem
143;i5.143;16S;VB132;Forest;22;Amsterdam;Klei
144;i5.144;16S;VB134;Forest;23;Swalmen;Zand
145;i5.145;16S;VB110;Arable_field;19;Sint-Truiden;Leem
196;i5.196;16S;VB051;Grassland;9;Boelenslaan;Zand
147;i5.147;16S;VB009;Grassland;2;Haarzuilens;Klei
148;i5.148;16S;VB096;Food_forest;16;Sint-Truiden;Leem
197;i5.197;16S;VB221;Forest;37;Rijswijk;Klei
198;i5.198;16S;VB152;Food_forest;26;Nevele;Zand
199;i5.199;16S;VB238;Food_forest;40;Oostwaard;Klei
200;i5.200;16S;VB194;Arable_field;33;Houthulst;Leem
201;i5.201;16S;VB195;Arable_field;33;Houthulst;Leem
202;i5.202;16S;VB207;Food_forest;35;Rijswijk;Klei
203;i5.203;16S;VB290;Forest;49;Vaassen;Zand
204;i5.204;16S;VB305;Grassland;51;Vaassen;Zand
205;i5.205;16S;VB183;Grassland;31;Houthulst;Leem
206;i5.206;16S;VB274;Food_forest;46;Malden;Leem
207;i5.207;16S;VB283;Arable_field;48;Malden;Leem
208;i5.208;16S;VB169;Grassland;29;Nevele;Zand
209;i5.209;16S;VB192;Forest;32;Houthulst;Leem
210;i5.210;16S;VB223;Grassland;38;Oostwaard;Klei
211;i5.211;16S;VB208;Food_forest;35;Rijswijk;Klei
212;i5.212;16S;VB210;Food_forest;35;Rijswijk;Klei
213;i5.213;16S;VB255;Forest;43;Etten-Leur;Zand
214;i5.214;16S;VB188;Forest;32;Houthulst;Leem
215;i5.215;16S;VB284;Arable_field;48;Malden;Leem
216;i5.216;16S;VB163;Forest;28;Nevele;Zand
217;i5.217;16S;VB189;Forest;32;Houthulst;Leem
218;i5.218;16S;VB279;Forest;47;Malden;Leem
219;i5.219;16S;VB164;Forest;28;Nevele;Zand
220;i5.220;16S;VB295;Food_forest;50;Vaassen;Zand
221;i5.221;16S;VB187;Forest;32;Houthulst;Leem
222;i5.222;16S;VB185;Grassland;31;Houthulst;Leem
223;i5.223;16S;VB242;Food_forest;41;Etten-Leur;Zand
224;i5.224;16S;VB289;Forest;49;Vaassen;Zand
225;i5.225;16S;VB167;Forest;28;Nevele;Zand
226;i5.226;16S;VB153;Food_forest;26;Nevele;Zand
227;i5.227;16S;VB214;Arable_field;36;Rijswijk;Klei
228;i5.228;16S;VB237;Food_forest;40;Oostwaard;Klei
229;i5.229;16S;VB186;Grassland;31;Houthulst;Leem
230;i5.230;16S;VB260;Arable_field;44;Etten-Leur;Zand
231;i5.231;16S;VB199;Grassland;34;Rijswijk;Klei
232;i5.232;16S;VB156;Food_forest;26;Nevele;Zand
233;i5.233;16S;VB232;Forest;39;Oostwaard;Klei
234;i5.234;16S;VB309;Arable_field;52;Vaassen;Zand
235;i5.235;16S;VB205;Food_forest;35;Rijswijk;Klei
236;i5.236;16S;VB170;Grassland;29;Nevele;Zand
237;i5.237;16S;VB312;Arable_field;52;Vaassen;Zand
238;i5.238;16S;VB266;Grassland;45;Malden;Leem
239;i5.239;16S;VB264;Arable_field;44;Etten-Leur;Zand
240;i5.240;16S;VB265;Grassland;45;Malden;Leem
241;i5.241;16S;VB227;Grassland;38;Oostwaard;Klei
242;i5.242;16S;VB282;Forest;47;Malden;Leem
243;i5.243;16S;VB285;Arable_field;48;Malden;Leem
244;i5.244;16S;VB286;Arable_field;48;Malden;Leem
