dna_code_noi5;dna_code;dna_region;code;landuse;unique_site;location;texture
245;i5.245;16S;VB181;Grassland;31;Houthulst;Leem
374;i5.374;16S;VB230;Forest;39;Oostwaard;Klei
247;i5.247;16S;VB267;Grassland;45;Malden;Leem
248;i5.248;16S;VB225;Grassland;38;Oostwaard;Klei
249;i5.249;16S;VB258;Forest;43;Etten-Leur;Zand
250;i5.250;16S;VB151;Food_forest;26;Nevele;Zand
251;i5.251;16S;VB253;Forest;43;Etten-Leur;Zand
252;i5.252;16S;VB200;Grassland;34;Rijswijk;Klei
253;i5.253;16S;VB180;Food_forest;30;Houthulst;Leem
254;i5.254;16S;VB219;Forest;37;Rijswijk;Klei
255;i5.255;16S;VB269;Grassland;45;Malden;Leem
256;i5.256;16S;VB191;Forest;32;Houthulst;Leem
257;i5.257;16S;VB224;Grassland;38;Oostwaard;Klei
258;i5.258;16S;VB168;Forest;28;Nevele;Zand
259;i5.259;16S;VB158;Arable_field;27;Nevele;Zand
260;i5.260;16S;VB206;Food_forest;35;Rijswijk;Klei
261;i5.261;16S;VB287;Arable_field;48;Malden;Leem
262;i5.262;16S;VB234;Forest;39;Oostwaard;Klei
263;i5.263;16S;VB154;Food_forest;26;Nevele;Zand
264;i5.264;16S;VB213;Arable_field;36;Rijswijk;Klei
265;i5.265;16S;VB222;Forest;37;Rijswijk;Klei
266;i5.266;16S;VB262;Arable_field;44;Etten-Leur;Zand
267;i5.267;16S;VB288;Arable_field;48;Malden;Leem
268;i5.268;16S;VB231;Forest;39;Oostwaard;Klei
269;i5.269;16S;VB245;Food_forest;41;Etten-Leur;Zand
270;i5.270;16S;VB198;Arable_field;33;Houthulst;Leem
271;i5.271;16S;VB171;Grassland;29;Nevele;Zand
272;i5.272;16S;VB248;Grassland;42;Etten-Leur;Zand
273;i5.273;16S;VB275;Food_forest;46;Malden;Leem
274;i5.274;16S;VB261;Arable_field;44;Etten-Leur;Zand
275;i5.275;16S;VB296;Food_forest;50;Vaassen;Zand
276;i5.276;16S;VB201;Grassland;34;Rijswijk;Klei
277;i5.277;16S;VB254;Forest;43;Etten-Leur;Zand
278;i5.278;16S;VB307;Arable_field;52;Vaassen;Zand
279;i5.279;16S;VB220;Forest;37;Rijswijk;Klei
280;i5.280;16S;VB226;Grassland;38;Oostwaard;Klei
281;i5.281;16S;VB268;Grassland;45;Malden;Leem
282;i5.282;16S;VB241;Food_forest;41;Etten-Leur;Zand
283;i5.283;16S;VB159;Arable_field;27;Nevele;Zand
284;i5.284;16S;VB173;Grassland;29;Nevele;Zand
285;i5.285;16S;VB251;Grassland;42;Etten-Leur;Zand
286;i5.286;16S;VB276;Food_forest;46;Malden;Leem
287;i5.287;16S;VB179;Food_forest;30;Houthulst;Leem
288;i5.288;16S;VB212;Arable_field;36;Rijswijk;Klei
289;i5.289;16S;VB216;Arable_field;36;Rijswijk;Klei
290;i5.290;16S;VB247;Grassland;42;Etten-Leur;Zand
291;i5.291;16S;VB294;Forest;49;Vaassen;Zand
292;i5.292;16S;VB235;Food_forest;40;Oostwaard;Klei
293;i5.293;16S;VB211;Arable_field;36;Rijswijk;Klei
294;i5.294;16S;VB204;Grassland;34;Rijswijk;Klei
376;i5.376;16S;VB281;Forest;47;Malden;Leem
296;i5.296;16S;VB271;Food_forest;46;Malden;Leem
297;i5.297;16S;VB252;Grassland;42;Etten-Leur;Zand
298;i5.298;16S;VB182;Grassland;31;Houthulst;Leem
299;i5.299;16S;VB209;Food_forest;35;Rijswijk;Klei
300;i5.300;16S;VB157;Arable_field;27;Nevele;Zand
301;i5.301;16S;VB177;Food_forest;30;Houthulst;Leem
302;i5.302;16S;VB270;Grassland;45;Malden;Leem
303;i5.303;16S;VB303;Grassland;51;Vaassen;Zand
304;i5.304;16S;VB300;Food_forest;50;Vaassen;Zand
305;i5.305;16S;VB161;Arable_field;27;Nevele;Zand
306;i5.306;16S;VB278;Forest;47;Malden;Leem
307;i5.307;16S;VB277;Forest;47;Malden;Leem
308;i5.308;16S;VB162;Arable_field;27;Nevele;Zand
309;i5.309;16S;VB218;Forest;37;Rijswijk;Klei
310;i5.310;16S;VB243;Food_forest;41;Etten-Leur;Zand
311;i5.311;16S;VB301;Grassland;51;Vaassen;Zand
312;i5.312;16S;VB244;Food_forest;41;Etten-Leur;Zand
313;i5.313;16S;VB228;Grassland;38;Oostwaard;Klei
314;i5.314;16S;VB304;Grassland;51;Vaassen;Zand
315;i5.315;16S;VB263;Arable_field;44;Etten-Leur;Zand
316;i5.316;16S;VB240;Food_forest;40;Oostwaard;Klei
317;i5.317;16S;VB229;Forest;39;Oostwaard;Klei
318;i5.318;16S;VB306;Grassland;51;Vaassen;Zand
319;i5.319;16S;VB292;Forest;49;Vaassen;Zand
320;i5.320;16S;VB178;Food_forest;30;Houthulst;Leem
321;i5.321;16S;VB197;Arable_field;33;Houthulst;Leem
322;i5.322;16S;VB233;Forest;39;Oostwaard;Klei
323;i5.323;16S;VB273;Food_forest;46;Malden;Leem
324;i5.324;16S;VB293;Forest;49;Vaassen;Zand
325;i5.325;16S;VB217;Forest;37;Rijswijk;Klei
326;i5.326;16S;VB272;Food_forest;46;Malden;Leem
327;i5.327;16S;VB172;Grassland;29;Nevele;Zand
378;i5.378;16S;VB308;Arable_field;52;Vaassen;Zand
329;i5.329;16S;VB184;Grassland;31;Houthulst;Leem
330;i5.330;16S;VB257;Forest;43;Etten-Leur;Zand
331;i5.331;16S;VB259;Arable_field;44;Etten-Leur;Zand
332;i5.332;16S;VB246;Food_forest;41;Etten-Leur;Zand
333;i5.333;16S;VB291;Forest;49;Vaassen;Zand
334;i5.334;16S;VB196;Arable_field;33;Houthulst;Leem
335;i5.335;16S;VB239;Food_forest;40;Oostwaard;Klei
336;i5.336;16S;VB155;Food_forest;26;Nevele;Zand
337;i5.337;16S;VB176;Food_forest;30;Houthulst;Leem
338;i5.338;16S;VB310;Arable_field;52;Vaassen;Zand
380;i5.380;16S;VB298;Food_forest;50;Vaassen;Zand
381;i5.381;16S;VB174;Grassland;29;Nevele;Zand
341;i5.341;16S;VB193;Arable_field;33;Houthulst;Leem
342;i5.342;16S;VB299;Food_forest;50;Vaassen;Zand
343;i5.343;16S;VB160;Arable_field;27;Nevele;Zand
344;i5.344;16S;VB256;Forest;43;Etten-Leur;Zand
345;i5.345;16S;VB236;Food_forest;40;Oostwaard;Klei
346;i5.346;16S;VB215;Arable_field;36;Rijswijk;Klei
347;i5.347;16S;VB175;Food_forest;30;Houthulst;Leem
348;i5.348;16S;VB280;Forest;47;Malden;Leem
349;i5.349;16S;VB202;Grassland;34;Rijswijk;Klei
350;i5.350;16S;VB249;Grassland;42;Etten-Leur;Zand
351;i5.351;16S;VB302;Grassland;51;Vaassen;Zand
352;i5.352;16S;VB166;Forest;28;Nevele;Zand
353;i5.353;16S;VB190;Forest;32;Houthulst;Leem
354;i5.354;16S;VB203;Grassland;34;Rijswijk;Klei
355;i5.355;16S;VB165;Forest;28;Nevele;Zand
356;i5.356;16S;VB250;Grassland;42;Etten-Leur;Zand
357;i5.357;16S;VB297;Food_forest;50;Vaassen;Zand
382;i5.382;16S;VB311;Arable_field;52;Vaassen;Zand
