dna_code_noi5;dna_code;dna_region;code;landuse;unique_site;location;texture;i5_code
N81;i5.N81;18S;VB144;Grassland;24;Swalmen;Zand;i5.86
N82;i5.N82;18S;VB029;Forest;5;Vlaardingen;Klei;i5.105
N83;i5.N83;18S;VB128;Forest;22;Amsterdam;Klei;i5.17
N84;i5.N84;18S;VB109;Arable_field;19;Sint-Truiden;Leem;i5.69
N85;i5.N85;18S;VB033;Grassland;6;Vlaardingen;Klei;i5.137
N86;i5.N86;18S;VB097;Forest;17;Sint-Truiden;Leem;i5.47
N87;i5.N87;18S;VB068;Arable_field;12;Groesbeek;Leem;i5.24
N88;i5.N88;18S;VB058;Food_forest;10;Boelenslaan;Zand;i5.365
N89;i5.N89;18S;VB114;Arable_field;19;Sint-Truiden;Leem;i5.90
N90;i5.N90;18S;VB127;Forest;22;Amsterdam;Klei;i5.8
N91;i5.N91;18S;VB001;Food_forest;1;Haarzuilens;Klei;i5.98
N92;i5.N92;18S;VB085;Food_forest;15;Groesbeek;Leem;i5.72
N93;i5.N93;18S;VB077;Forest;13;Groesbeek;Leem;i5.153
N94;i5.N94;18S;VB017;Forest;3;Haarzuilens;Klei;i5.119
N95;i5.N95;18S;VB070;Arable_field;12;Groesbeek;Leem;i5.56
N96;i5.N96;18S;VB150;Food_forest;25;Swalmen;Zand;i5.2
N97;i5.N97;18S;VB094;Food_forest;16;Sint-Truiden;Leem;i5.142
N98;i5.N98;18S;VB104;Grassland;18;Sint-Truiden;Leem;i5.124
N99;i5.N99;18S;VB042;Food_forest;7;Vlaardingen;Klei;i5.54
N100;i5.N100;18S;VB119;Grassland;20;Amsterdam;Klei;i5.164
N101;i5.N101;18S;VB028;Forest;5;Vlaardingen;Klei;i5.15
N102;i5.N102;18S;VB105;Grassland;18;Sint-Truiden;Leem;i5.39
N103;i5.N103;18S;VB145;Food_forest;25;Swalmen;Zand;i5.116
N104;i5.N104;18S;VB125;Food_forest;21;Amsterdam;Klei;i5.159
N105;i5.N105;18S;VB031;Grassland;6;Vlaardingen;Klei;i5.80
N106;i5.N106;18S;VB082;Grassland;14;Groesbeek;Leem;i5.59
N107;i5.N107;18S;VB062;Forest;11;Boelenslaan;Zand;i5.162
N108;i5.N108;18S;VB075;Forest;13;Groesbeek;Leem;i5.6
N109;i5.N109;18S;VB048;Food_forest;8;Boelenslaan;Zand;i5.67
N110;i5.N110;18S;VB083;Grassland;14;Groesbeek;Leem;i5.139
N111;i5.N111;18S;VB026;Forest;5;Vlaardingen;Klei;i5.175
N112;i5.N112;18S;VB064;Forest;11;Boelenslaan;Zand;i5.152
N113;i5.N113;18S;VB096;Food_forest;16;Sint-Truiden;Leem;i5.148
N114;i5.N114;18S;VB004;Food_forest;1;Haarzuilens;Klei;i5.112
N115;i5.N115;18S;VB051;Grassland;9;Boelenslaan;Zand;i5.196
N116;i5.N116;18S;VB121;Food_forest;21;Amsterdam;Klei;i5.187
N117;i5.N117;18S;VB108;Grassland;18;Sint-Truiden;Leem;i5.122
N118;i5.N118;18S;VB129;Forest;22;Amsterdam;Klei;i5.37
N119;i5.N119;18S;VB021;Arable_field;4;Haarzuilens;Klei;i5.43
N120;i5.N120;18S;VB057;Food_forest;10;Boelenslaan;Zand;i5.77
N121;i5.N121;18S;VB084;Grassland;14;Groesbeek;Leem;i5.26
N122;i5.N122;18S;VB107;Grassland;18;Sint-Truiden;Leem;i5.129
N123;i5.N123;18S;VB140;Grassland;24;Swalmen;Zand;i5.193
N124;i5.N124;18S;VB013;Forest;3;Haarzuilens;Klei;i5.13
N125;i5.N125;18S;VB139;Grassland;24;Swalmen;Zand;i5.367
N126;i5.N126;18S;VB073;Forest;13;Groesbeek;Leem;i5.60
N127;i5.N127;18S;VB092;Food_forest;16;Sint-Truiden;Leem;i5.113
N128;i5.N128;18S;VB130;Forest;22;Amsterdam;Klei;i5.370
N129;i5.N129;18S;VB052;Grassland;9;Boelenslaan;Zand;i5.65
N130;i5.N130;18S;VB056;Food_forest;10;Boelenslaan;Zand;i5.368
N131;i5.N131;18S;VB123;Food_forest;21;Amsterdam;Klei;i5.166
N132;i5.N132;18S;VB142;Grassland;24;Swalmen;Zand;i5.369
N133;i5.N133;18S;VB071;Arable_field;12;Groesbeek;Leem;i5.7
N134;i5.N134;18S;VB067;Arable_field;12;Groesbeek;Leem;i5.366
N135;i5.N135;18S;VB147;Food_forest;25;Swalmen;Zand;i5.154
N136;i5.N136;18S;VB010;Grassland;2;Haarzuilens;Klei;i5.36
N137;i5.N137;18S;VB059;Food_forest;10;Boelenslaan;Zand;i5.158
N138;i5.N138;18S;VB035;Grassland;6;Vlaardingen;Klei;i5.53
N139;i5.N139;18S;VB005;Food_forest;1;Haarzuilens;Klei;i5.132
N140;i5.N140;18S;VB149;Food_forest;25;Swalmen;Zand;i5.151
N141;i5.N141;18S;VB032;Grassland;6;Vlaardingen;Klei;i5.177
N142;i5.N142;18S;VB106;Grassland;18;Sint-Truiden;Leem;i5.58
N143;i5.N143;18S;VB135;Forest;23;Swalmen;Zand;i5.360
N144;i5.N144;18S;VB091;Food_forest;16;Sint-Truiden;Leem;i5.74
N145;i5.N145;18S;VB025;Forest;5;Vlaardingen;Klei;i5.117
N146;i5.N146;18S;VB007;Grassland;2;Haarzuilens;Klei;i5.130
N147;i5.N147;18S;VB016;Forest;3;Haarzuilens;Klei;i5.141
N148;i5.N148;18S;VB118;Grassland;20;Amsterdam;Klei;i5.63
